"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"1",54,52,3.4,3,"49-76"
"1",37,42,2.25,0.82,"24-43"
"1",53,59,4,3.83,"49-76"
"1",60,66,3.8,2.91,"49-76"
"2",56,54,3.7,2.86,"49-76"
"1",60,66,4,3.41,"49-76"
"1",46,60,2.75,2.21,"43-49"
"2",53,51,3.75,3.06,"49-76"
"2",42,55,3.25,2,"24-43"
"1",54,51,3.5,3.3,"49-76"
"2",68,59,4,3.77,"49-76"
"1",58,59,3,2.67,"49-76"
"2",48,60,3,2.35,"43-49"
"1",54,58,2.8,1.54,"49-76"
"1",54,64,3.3,1.5,"49-76"
"2",37,51,3.5,1.38,"24-43"
"2",42,60,2.8,1.72,"24-43"
"1",54,53,3.4,2.95,"49-76"
"1",57,55,3.5,1.97,"49-76"
"1",48,55,3.2,0.73,"43-49"
"1",64,62,4,3.75,"49-76"
"2",44,52,2.9,2.6,"43-49"
"1",52,64,3,2.81,"49-76"
"2",52,52,3.75,3.34,"49-76"
"1",52,64,2.6,2.24,"49-76"
"1",53,68,4,3.91,"49-76"
"1",52,64,3.2,1.71,"49-76"
"2",35,52,2,2.02,"24-43"
"2",39,49,3.25,1.69,"24-43"
"2",39,64,3,3.09,"24-43"
"1",45,57,3.5,2.69,"43-49"
"1",50,55,2.7,2.11,"49-76"
"1",54,64,3.25,1.43,"49-76"
"1",44,54,2.5,2.54,"43-49"
"2",45,64,4,4,"43-49"
"2",27,41,2.8,1.87,"24-43"
"1",50,63,2.5,3.25,"49-76"
"2",54,47,2.1,1.18,"49-76"
"1",57,56,4,2.8,"49-76"
"2",47,55,3.5,2.56,"43-49"
"1",44,59,3.25,3.22,"43-49"
"1",41,50,2.7,2.13,"24-43"
"2",54,64,3.33,3.3,"49-76"
"2",46,51,3.4,2.52,"43-49"
"1",51,64,2.5,1.3,"49-76"
"1",55,60,2.1,2.09,"49-76"
"2",58,58,3.5,3.38,"49-76"
"1",56,74,4,3.38,"49-76"
"1",36,38,2,1.49,"24-43"
"1",52,53,2.67,2.38,"49-76"
"1",46,51,2.7,1.87,"43-49"
"2",50,54,3.7,3.03,"49-76"
"2",53,56,3.75,3.17,"49-76"
"2",39,31,2.8,2.33,"24-43"
"2",44,45,3.5,3.11,"43-49"
"2",46,61,3.75,3.22,"43-49"
"2",45,51,3.5,2.56,"43-49"
"1",47,50,3.5,1.4,"43-49"
"1",36,48,2.2,0,"24-43"
"1",41,49,3.2,2.67,"24-43"
"2",49,51,3.6,2.58,"49-76"
"1",36,38,2.3,3.12,"24-43"
"2",35,52,2.5,3.12,"24-43"
"1",36,52,2.7,1.65,"24-43"
"1",55,56,2.5,2.14,"49-76"
"2",47,51,2.8,2.19,"43-49"
"2",50,56,3.7,3.63,"49-76"
"1",63,72,3.5,3.86,"49-76"
"2",67,74,4,3.18,"49-76"
"1",52,46,2.75,2.48,"49-76"
"1",50,63,3.4,3.71,"49-76"
"2",52,40,3.3,2.4,"49-76"
"1",24,58,2.1,1.68,"24-43"
"1",37,64,2.5,1.3,"24-43"
"2",42,47,2.5,1.72,"24-43"
"1",51,59,2.5,2.38,"49-76"
"1",55,55,3.2,2.54,"49-76"
"1",60,64,3.7,2.43,"49-76"
"1",56,74,4,3.63,"49-76"
"1",52,64,3.1,2.65,"49-76"
"2",50,33,2.75,2.04,"49-76"
"2",62,56,3.7,3.24,"49-76"
"2",49,55,3.5,2.55,"49-76"
"2",48,45,3.7,2.91,"43-49"
"2",49,62,3.75,3.63,"49-76"
"1",57,64,4,3.75,"49-76"
"2",45,48,2,1.14,"43-49"
"1",47,53,3.5,2.11,"43-49"
"1",36,50,3.2,2.02,"24-43"
"1",37,50,3,2.33,"24-43"
"1",42,53,3.1,2.42,"24-43"
"1",56,58,3.3,2.09,"49-76"
"2",48,43,3.1,3.19,"43-49"
"1",54,60,3,2.67,"49-76"
"1",46,58,2.75,1.15,"43-49"
"2",47,48,3.7,2.92,"43-49"
"1",38,49,2.25,0,"24-43"
"1",44,57,3.3,1.86,"43-49"
"2",41,49,3.1,1.5,"24-43"
"2",42,59,3.8,3.22,"24-43"
"1",48,54,3.8,3.04,"43-49"
"2",50,53,3,2.19,"49-76"
"1",45,58,3.5,2.04,"43-49"
"1",44,50,3.8,3.08,"43-49"
"1",41,51,2.9,3.04,"24-43"
"1",51,64,3,2.89,"49-76"
"2",36,38,2.9,2.04,"24-43"
"1",47,50,2.7,1.35,"43-49"
"1",45,58,3.5,2.34,"43-49"
"2",45,61,4,2.67,"43-49"
"1",53,56,4,3.67,"49-76"
"2",49,62,3.9,3.63,"49-76"
"1",43,39,2.3,2.47,"43-49"
"1",39,56,2.6,2.14,"24-43"
"1",46,57,2.5,2.53,"43-49"
"2",41,55,2.5,1.37,"24-43"
"2",42,44,3.1,2.35,"24-43"
"2",39,45,3,2.74,"24-43"
"2",37,59,2.75,2.38,"24-43"
"1",43,55,2.1,1.47,"43-49"
"1",58,63,4,3.09,"49-76"
"1",62,71,4,3.48,"49-76"
"2",39,49,3,2.6,"24-43"
"1",57,59,3,2.26,"49-76"
"1",35,48,3.25,2.19,"24-43"
"1",55,65,2.7,2.71,"49-76"
"2",47,45,2.8,2.37,"43-49"
"2",47,58,3.25,2.68,"43-49"
"1",63,50,2.9,2.85,"49-76"
"1",45,57,4,2.73,"43-49"
"1",43,51,2.6,2.91,"43-49"
"1",62,58,3.2,3.13,"49-76"
"2",42,59,3.25,1.86,"24-43"
"2",67,77,4,3.49,"49-76"
"1",55,35,3.5,2.47,"49-76"
"2",45,61,4,2.02,"43-49"
"1",52,60,3,3.24,"49-76"
"2",36,45,3.4,2.96,"24-43"
"1",41,63,3.5,2.86,"24-43"
"1",45,46,2.8,1.47,"43-49"
"2",69,60,4,2.93,"49-76"
"2",53,52,2.8,2.15,"49-76"
"1",57,64,3.2,2.84,"49-76"
"1",55,65,3.3,2.72,"49-76"
"2",52,53,3.5,3.52,"49-76"
"1",54,47,3,2.49,"49-76"
"2",53,59,3.75,3.19,"49-76"
"1",41,43,2.3,1.69,"24-43"
"2",52,50,3.4,3.1,"49-76"
"1",44,54,3.2,1.5,"43-49"
"2",43,61,2.8,2.28,"43-49"
"1",33,48,2.8,1.6,"24-43"
"1",54,62,3.8,3.14,"49-76"
"2",62,59,2.75,3.1,"49-76"
"2",59,59,3.8,3.24,"49-76"
"1",61,63,4,3.75,"49-76"
"1",61,64,4,3,"49-76"
"2",49,57,3.75,3.6,"49-76"
"1",46,57,4,3.2,"43-49"
"2",53,51,3.75,2.38,"49-76"
"1",47,53,4,3.02,"43-49"
"2",53,40,3.33,2.13,"49-76"
"2",47,67,4,2.75,"43-49"
"1",29,29,3.2,2.26,"24-43"
"1",60,66,4,3.12,"49-76"
"1",62,63,4,3.21,"49-76"
"1",52,68,3.8,3.66,"49-76"
"1",55,56,3.7,2.05,"49-76"
"1",48,54,3.1,2.8,"43-49"
"1",46,53,2.5,2.03,"43-49"
"1",46,62,3,3.22,"43-49"
"2",50,58,3.75,3.81,"49-76"
"2",49,50,3.8,3.02,"49-76"
"2",40,45,2.75,1.62,"24-43"
"1",36,59,2.9,2.48,"24-43"
"2",48,52,3.9,3.6,"43-49"
"2",43,42,3,1.92,"43-49"
"2",44,41,3.5,3.28,"43-49"
"2",48,49,3.3,2.42,"43-49"
"2",61,48,3.8,3.52,"49-76"
"1",43,50,2.5,1.19,"43-49"
"1",48,60,3,2.37,"43-49"
"1",60,53,2.2,2.09,"49-76"
"2",61,68,3.2,3.25,"49-76"
"1",49,58,3.8,1.13,"49-76"
"2",59,63,4,3.92,"49-76"
"2",46,60,3.3,3.22,"43-49"
"2",47,44,3.25,3.36,"43-49"
"2",49,60,3,1.88,"49-76"
"2",54,55,3.8,3.06,"49-76"
"2",43,52,3.8,2.73,"43-49"
"2",61,56,3.7,2.15,"49-76"
"1",50,72,3,3.06,"49-76"
"1",49,59,3.75,2.18,"49-76"
"1",47,47,3,2.37,"43-49"
"2",53,59,3.5,3.1,"49-76"
"2",54,60,4,3.92,"49-76"
"2",55,58,3.6,2.23,"49-76"
"2",43,43,2.5,2.15,"43-49"
"2",58,58,3.8,3.48,"49-76"
"1",55,54,3.25,2.8,"49-76"
"1",63,73,4,3.59,"49-76"
"2",38,48,2.6,2.95,"24-43"
"1",56,52,2.3,1.52,"49-76"
"2",43,49,2.8,2.12,"43-49"
"1",63,73,4,3.55,"49-76"
"2",45,48,3,1.7,"43-49"
"1",43,51,2.4,1.86,"43-49"
"2",50,50,3.75,3.13,"49-76"
"1",44,62,3.8,3.55,"43-49"
"1",60,60,3.2,2.45,"49-76"
"1",31,29,2.47,1.76,"24-43"
"1",55,65,2.3,1.3,"49-76"
"1",40,46,2,1.14,"24-43"
"2",50,43,2.8,3.19,"49-76"
"2",64,52,2.8,3.16,"49-76"
"2",57,55,3.8,3.17,"49-76"
"2",45,48,3.7,3.34,"43-49"
"2",59,56,3.5,3.8,"49-76"
"1",49,55,2.3,2.19,"49-76"
"1",62,67,4,3,"49-76"
"1",44,62,3.8,2.73,"43-49"
"2",60,49,3.5,3.47,"49-76"
"1",56,53,3,1.13,"49-76"
"1",41,40,2.9,2.22,"24-43"
"2",50,58,3.2,1.88,"49-76"
"1",52,52,3.5,1.96,"49-76"
"2",39,51,2.75,1.24,"24-43"
"2",45,57,3.8,3.02,"43-49"
"2",33,46,2.5,1.57,"24-43"
"2",42,42,3,1.97,"24-43"
"2",50,51,3.25,2.4,"49-76"
"2",57,55,3.8,2.54,"49-76"
"2",50,54,3.5,2.79,"49-76"
"2",42,35,3.1,2.26,"24-43"
"1",55,65,3.3,2.31,"49-76"
"2",43,42,2.5,1.69,"43-49"
"1",50,57,3.5,1.8,"49-76"
"2",46,44,3,2.38,"43-49"
"2",63,63,4,3.92,"49-76"
"1",48,54,3.8,3.17,"43-49"
"2",47,55,2.5,1.79,"43-49"
"2",41,64,2,1.47,"24-43"
"1",39,53,2.7,0,"24-43"
"2",48,62,2.75,2.53,"43-49"
"1",39,50,2.3,1.13,"24-43"
"1",43,43,1.8,1.73,"43-49"
"1",52,46,2.5,1.73,"49-76"
"1",52,60,3.1,2.37,"49-76"
"2",47,56,4,3.24,"43-49"
"2",53,50,3.9,3.59,"49-76"
"2",54,61,3.25,2.69,"49-76"
"1",49,57,3,2.59,"49-76"
"2",43,49,2,1.49,"43-49"
"2",58,58,3.9,3.33,"49-76"
"1",55,48,2.7,1.84,"49-76"
"1",55,55,3.3,2.54,"49-76"
"2",42,39,2.5,2.47,"24-43"
"1",55,54,4,2.63,"49-76"
"2",43,56,3,2,"43-49"
"1",61,65,3.5,2.96,"49-76"
"2",50,50,3.75,3.59,"49-76"
"2",45,57,3.75,3.26,"43-49"
"2",47,51,2.8,2.19,"43-49"
"1",61,51,3.25,2.74,"49-76"
"1",48,41,2.5,2.54,"43-49"
"2",59,59,3.3,2.37,"49-76"
"1",69,70,3.3,3.07,"49-76"
"2",35,32,2.8,2.26,"24-43"
"1",47,55,3.5,1.4,"43-49"
"1",49,59,3,4,"49-76"
"1",42,55,2.4,2.67,"24-43"
"2",50,47,2.7,2.38,"49-76"
"2",36,45,2.67,2.95,"24-43"
"1",59,67,4,3.09,"49-76"
"2",45,53,3.2,2.73,"43-49"
"2",49,43,2.4,2.53,"49-76"
"1",44,41,2,1.49,"43-49"
"1",50,58,3.2,1.71,"49-76"
"2",43,49,2,0,"43-49"
"2",52,51,2.75,2.38,"49-76"
"1",31,51,3.2,2.02,"24-43"
"2",54,57,3.25,1.35,"49-76"
"1",57,66,2.6,2.24,"49-76"
"1",41,68,2.5,1.3,"24-43"
"2",49,41,2.4,2.53,"49-76"
"1",62,63,3.6,3.21,"49-76"
"2",54,40,2.5,1.64,"49-76"
"1",54,58,2.8,1.35,"49-76"
"2",47,55,3.5,2.56,"43-49"
"1",49,59,4,3.17,"49-76"
"1",64,64,3.7,3.87,"49-76"
"2",53,62,3.3,1.8,"49-76"
"1",39,56,2.9,1.9,"24-43"
"1",40,55,2.1,2.02,"24-43"
"2",43,46,3.5,2.69,"43-49"
"1",51,36,2.75,2.4,"49-76"
"2",62,57,3.7,3.24,"49-76"
"1",40,58,2.75,0.85,"24-43"
"2",53,51,3.75,2.54,"49-76"
"1",39,55,2.8,1.92,"24-43"
"1",43,46,2.8,2.28,"43-49"
"1",70,73,4,3.43,"49-76"
"2",57,66,4,3.89,"49-76"
"1",45,47,2.4,2.05,"43-49"
"1",39,55,2.1,1.78,"24-43"
"2",44,54,2.6,2.64,"43-49"
"2",63,64,3.75,3.11,"49-76"
"2",43,45,2.5,2.22,"43-49"
"2",49,48,3.75,3.1,"49-76"
"1",62,75,4,3.43,"49-76"
"1",50,77,3,2.02,"49-76"
"2",39,53,3,3.35,"24-43"
"1",47,60,3.3,3.38,"43-49"
"1",42,52,3.75,2.31,"24-43"
"2",47,48,3.5,1.4,"43-49"
"2",45,63,3.75,3.63,"43-49"
"2",41,52,4,2.98,"24-43"
"1",36,36,2.9,1.62,"24-43"
"1",60,65,3,1.96,"49-76"
"2",50,52,3.5,2.9,"49-76"
"2",49,57,3.8,3.4,"49-76"
"2",40,50,3.1,2.24,"24-43"
"1",64,71,3.5,3.3,"49-76"
"1",47,55,2.9,1.65,"43-49"
"2",41,52,3,2.39,"24-43"
"2",50,62,3.75,3.81,"49-76"
"1",41,65,3.5,2.86,"24-43"
"1",42,52,3.75,3.25,"24-43"
"1",41,66,2.9,3.04,"24-43"
"1",65,67,3.5,3.18,"49-76"
"1",37,58,2.5,2.24,"24-43"
"2",47,48,3.5,2.56,"43-49"
"1",45,60,3.1,2.29,"43-49"
"1",48,55,3.1,2.43,"43-49"
"1",62,64,2.5,1.7,"49-76"
"1",51,57,2.8,3.29,"49-76"
"2",41,45,4,2.53,"24-43"
"1",24,29,3.2,2.33,"24-43"
"1",55,56,2.5,2.14,"49-76"
"2",47,48,3.25,1.91,"43-49"
"2",62,61,3.2,2.83,"49-76"
"2",50,55,3.3,2.69,"49-76"
"2",62,48,3.1,2.69,"49-76"
"1",51,73,2.5,1.94,"49-76"
"2",50,33,2.8,3.19,"49-76"
"2",49,57,3.4,2.54,"49-76"
"2",47,56,4,2.69,"43-49"
"1",57,60,2.3,2.38,"49-76"
"2",50,50,3.7,3.1,"49-76"
"1",56,50,2.2,1.36,"49-76"
"1",45,53,2.2,1.77,"43-49"
"1",40,45,2.5,1.13,"24-43"
"2",59,64,3.8,3.71,"49-76"
"2",53,62,3.75,3.81,"49-76"
"1",53,59,2.8,2.93,"49-76"
"2",46,56,3.7,3.56,"43-49"
"1",55,57,3.4,1.97,"49-76"
"1",49,44,3,2.37,"49-76"
"1",64,64,3.5,3.94,"49-76"
"1",55,70,2.7,2.53,"49-76"
"1",41,50,2.3,1.33,"24-43"
"2",52,48,2.74,2.28,"49-76"
"2",56,49,3.8,3.16,"49-76"
"2",38,32,2.25,1.43,"24-43"
"2",38,47,2.5,2.95,"24-43"
"1",58,56,2.5,1.69,"49-76"
"1",49,60,3,2.59,"49-76"
"1",54,63,3.8,2.63,"49-76"
"1",57,66,3,3.17,"49-76"
"1",54,52,3,2.2,"49-76"
"2",60,59,3.5,3.8,"49-76"
"1",37,50,3.75,2.24,"24-43"
"2",35,60,4,3.44,"24-43"
"1",56,74,4,3.82,"49-76"
"1",49,48,2.3,1.21,"49-76"
"1",68,74,4,3.43,"49-76"
"1",56,46,2.2,1.14,"49-76"
"1",45,53,3.5,2.53,"43-49"
"1",55,65,3,2.54,"49-76"
"2",38,47,2.5,1.98,"24-43"
"1",41,68,4,2.06,"24-43"
"2",49,62,3.5,2.51,"49-76"
"1",55,65,2.7,2.53,"49-76"
"2",41,43,3.5,2,"24-43"
"2",41,58,3.4,1.95,"24-43"
"2",50,60,3,1.88,"49-76"
"2",57,55,3.5,3.34,"49-76"
"1",47,55,2.5,2.38,"43-49"
"1",36,38,2.9,1.43,"24-43"
"2",50,58,2.7,2.22,"49-76"
"2",38,34,2.25,0.82,"24-43"
"1",36,52,3.9,3.25,"24-43"
"2",50,53,2.5,1.73,"49-76"
"2",54,47,3.8,3.13,"49-76"
"2",52,52,2.8,1.83,"49-76"
"2",47,48,3.5,2.88,"43-49"
"2",50,53,2.8,2.59,"49-76"
"1",47,53,3.5,3,"43-49"
"1",53,59,3.5,1.8,"49-76"
"2",55,57,3.2,2.75,"49-76"
"1",45,65,2.1,1.7,"43-49"
"1",54,64,4,2.89,"49-76"
"2",76,59,3.7,2.71,"49-76"
"2",52,60,3.5,2.24,"49-76"
"2",43,53,2.9,2.76,"43-49"
"1",50,58,3.2,2.7,"49-76"
"2",48,60,3,2.35,"43-49"
"2",45,48,3.7,3.56,"43-49"
"1",39,57,3.1,2.92,"24-43"
"1",53,59,4,4,"49-76"
"1",43,50,2.9,2.2,"43-49"
"1",46,44,2.7,2,"43-49"
"2",46,48,3.5,2.54,"43-49"
"1",57,61,3.75,2.79,"49-76"
"2",50,52,3.25,3.36,"49-76"
"2",44,60,3.3,3.22,"43-49"
"2",36,43,2,1.73,"24-43"
"1",56,74,4,3.29,"49-76"
"2",57,45,2.1,2.24,"49-76"
"1",48,53,3.5,1.4,"43-49"
"2",55,45,2.25,1.43,"49-76"
"2",47,58,3.3,2.91,"43-49"
"2",49,58,3.5,1.19,"49-76"
"1",45,64,2.5,2.67,"43-49"
"1",46,57,4,3.2,"43-49"
"1",45,66,2.4,3.25,"43-49"
"2",46,43,3,3.27,"43-49"
"2",53,52,3.75,3.17,"49-76"
