"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"1",47,52,3,3.15,"49-76"
"1",46,57,2.7,1.15,"49-76"
"2",48,60,3,2.35,"49-76"
"2",42,57,2.4,2.27,"49-76"
"2",54,54,3.7,2.43,"43-49"
"1",36,64,3.4,2.36,"24-43"
"1",44,48,2.75,1.84,"24-43"
"1",36,50,2.3,1.65,"49-76"
"2",57,57,4,3.19,"49-76"
"2",47,47,2.8,2.21,"49-76"
"1",37,55,2.2,1.7,"43-49"
"2",59,62,4,3.82,"24-43"
"1",47,41,3.2,3.27,"24-43"
"2",58,64,4,3.89,"49-76"
"2",53,62,3.3,2.47,"49-76"
"2",50,60,3.2,1.88,"43-49"
"2",37,45,2.5,2.12,"49-76"
"2",42,44,3,1.42,"49-76"
"2",59,62,3.8,3.52,"43-49"
"1",51,54,3.5,2.17,"49-76"
"1",58,50,3,2.33,"49-76"
"2",62,68,4,4,"24-43"
"1",43,57,3.1,2.24,"24-43"
"1",55,60,2.6,1.78,"43-49"
"1",37,45,2.5,1.8,"49-76"
"2",42,43,3.2,1.44,"49-76"
"1",52,52,2.75,2.38,"49-76"
"1",52,53,3,3.15,"49-76"
"1",47,60,4,3.02,"43-49"
"1",62,59,2.3,1.78,"49-76"
"1",70,66,4,3.31,"43-49"
"2",50,48,3.75,2.97,"43-49"
"1",53,65,3.7,2.96,"24-43"
"1",46,37,2.6,2.4,"49-76"
"2",49,43,2.7,1.62,"49-76"
"2",41,53,2.4,1.19,"43-49"
"1",42,55,3,2,"24-43"
"2",57,55,4,3.57,"49-76"
"1",50,58,3,2.81,"49-76"
"2",69,59,4,3.91,"43-49"
"1",54,44,2.7,0.55,"43-49"
"1",57,57,3.3,3.46,"24-43"
"2",40,47,2.5,1.13,"49-76"
"2",45,44,3,3.66,"49-76"
"1",49,47,2.7,2.44,"24-43"
"1",39,50,3,2.59,"24-43"
"1",47,41,3,1.45,"49-76"
"1",54,57,3.6,2.47,"24-43"
"2",47,58,3.5,2.11,"49-76"
"1",59,66,3.9,3.41,"49-76"
"2",47,58,3.4,1.95,"49-76"
"1",50,77,3.9,3.48,"24-43"
"1",49,42,3.2,2.31,"24-43"
"1",54,68,3.3,1.43,"24-43"
"2",42,55,3.25,2.19,"49-76"
"2",45,50,2.6,1.67,"49-76"
"2",47,47,2.8,3.29,"24-43"
"1",45,71,2.5,2.98,"43-49"
"1",41,59,3.4,3,"49-76"
"1",49,47,2.8,2,"43-49"
"1",45,59,3.3,1.64,"43-49"
"2",57,59,4,2.71,"49-76"
"2",45,48,2.5,3.07,"49-76"
"1",50,55,3.7,2.6,"49-76"
"2",57,61,4,3.89,"49-76"
"1",39,45,3,1.79,"43-49"
"2",43,45,2.8,2.76,"43-49"
"1",59,53,3,3.21,"43-49"
"1",47,62,3.3,1.12,"49-76"
"2",44,33,3.5,2.71,"49-76"
"2",67,56,3.4,2.71,"49-76"
"1",39,56,3,1.79,"24-43"
"1",49,50,3.7,1.13,"49-76"
"2",42,43,4,1.69,"43-49"
"1",61,64,3.8,2.52,"49-76"
"1",54,52,3.5,3.3,"49-76"
"1",49,57,3.5,2.33,"43-49"
"1",61,60,3.5,3.35,"49-76"
"2",44,54,3.2,2.49,"49-76"
"2",39,41,2.8,0.77,"49-76"
"2",39,43,2.75,1.62,"49-76"
"2",46,50,3.7,2.93,"43-49"
"2",32,54,2.7,1.62,"24-43"
"2",50,44,2.7,1.62,"43-49"
"1",52,46,2.6,2.38,"49-76"
"1",48,57,2.3,2.56,"43-49"
"1",52,73,2.7,3.4,"49-76"
"2",50,58,3.75,1.94,"43-49"
"1",43,46,2.3,1.19,"24-43"
"2",46,45,2.75,2.04,"24-43"
"1",43,46,2.9,2.12,"43-49"
"1",59,55,3.2,3.13,"24-43"
"2",45,57,2.8,2.52,"49-76"
"2",66,53,2.8,2.37,"43-49"
"1",64,62,4,3.41,"49-76"
"2",49,52,3.8,2.67,"49-76"
"1",47,60,3.5,3,"43-49"
"1",51,59,2.9,2.81,"49-76"
"2",48,57,3.6,3.02,"24-43"
"1",45,65,2.47,1.94,"24-43"
"1",54,57,2.5,2.34,"49-76"
"2",42,51,2.5,2.15,"49-76"
"1",37,53,2.5,2.58,"24-43"
"1",41,59,3.4,1.95,"43-49"
"1",64,66,4,3.09,"49-76"
"1",49,59,3.5,1.6,"43-49"
"1",45,44,3.5,2.69,"24-43"
"2",63,59,4,3.36,"43-49"
"2",59,62,4,3.89,"24-43"
"2",59,58,4,3.91,"49-76"
"2",53,50,3.3,3.04,"43-49"
"2",51,54,3.7,2.9,"24-43"
"1",54,58,3,1.5,"24-43"
"2",66,64,2.8,2.83,"49-76"
"1",61,57,3.5,3.3,"49-76"
"1",36,38,2.8,1.62,"49-76"
"1",58,59,4,2.47,"43-49"
"1",52,62,2.7,2.71,"49-76"
"1",55,47,2.7,1.84,"49-76"
"2",39,34,2.7,1.63,"24-43"
"1",49,59,3.5,2.55,"43-49"
"1",49,55,2.5,2.14,"49-76"
"2",41,42,3,1.93,"43-49"
"1",41,53,3.5,2.38,"49-76"
"1",44,58,3.3,1.5,"49-76"
"2",53,62,3.5,2.13,"49-76"
"2",41,56,2.5,2.38,"49-76"
"1",59,56,2.4,1.78,"49-76"
"2",53,52,3.5,2.45,"49-76"
"1",50,57,3,4,"43-49"
"1",62,75,3.8,2.89,"49-76"
"1",55,59,2.1,2.09,"24-43"
"1",40,44,3.25,3.04,"24-43"
"2",36,32,2.3,1.55,"49-76"
"1",48,44,2.4,2.24,"49-76"
"1",42,46,2.75,1.33,"49-76"
"2",57,64,3.75,1.94,"24-43"
"1",42,46,2.7,2.54,"43-49"
"2",49,55,3.7,2.58,"43-49"
"1",45,55,2.7,2.08,"49-76"
"1",40,50,2.5,1.63,"24-43"
"1",42,56,2.5,2.64,"43-49"
"2",54,61,4,3.33,"43-49"
"2",57,55,4,3.51,"49-76"
"2",38,34,2.7,1.65,"24-43"
"2",63,57,2.03,3.33,"49-76"
"1",45,55,2.4,2.27,"49-76"
"1",64,62,3.75,2.79,"43-49"
"1",61,63,4,3.79,"43-49"
"2",36,58,2.9,2.27,"24-43"
"1",55,50,2.6,1.98,"24-43"
"1",35,48,2.2,0.95,"43-49"
"1",44,39,2.8,1.98,"49-76"
"2",34,46,3.1,2.08,"49-76"
"2",66,66,3.5,3.21,"24-43"
"1",55,57,2.9,2.75,"49-76"
"1",47,50,2.75,1.63,"49-76"
"1",55,53,3.2,2.29,"24-43"
"1",52,66,4,3.67,"49-76"
"2",44,59,3.2,2.39,"49-76"
"2",54,51,3.4,3.59,"43-49"
"1",49,49,3.4,2.51,"49-76"
"2",61,57,4,2.71,"49-76"
"1",52,52,3.9,2.63,"43-49"
"2",44,45,2.3,2.05,"49-76"
"1",50,43,2,1.31,"49-76"
"1",44,57,3.1,2.42,"49-76"
"2",57,61,4,3.89,"49-76"
"2",47,54,4,3.02,"43-49"
"1",54,57,2.7,2.22,"24-43"
"1",53,49,3.5,3.35,"43-49"
"2",51,53,3.5,1.89,"43-49"
"1",55,52,2.7,1.5,"49-76"
"2",50,51,3.25,2.7,"43-49"
"1",65,67,3.5,2.88,"43-49"
"2",54,58,3.5,3.11,"24-43"
"1",46,53,2.8,2.54,"43-49"
"2",43,58,3.7,3.51,"49-76"
"1",54,60,3.5,3.64,"49-76"
"1",52,46,2.7,1.62,"43-49"
"2",52,38,4,3.77,"24-43"
"2",34,37,3,1.78,"24-43"
"1",36,52,3.5,1.38,"43-49"
"1",44,48,2.6,1.87,"49-76"
"2",56,58,3,1.57,"43-49"
"1",69,60,3.5,2.98,"49-76"
"2",40,63,2.75,2.53,"49-76"
"1",51,59,2.75,1.54,"43-49"
"2",57,65,3.75,3.81,"49-76"
"2",49,44,2.7,1.75,"49-76"
"1",45,57,2.7,1.14,"49-76"
"1",36,38,2.9,1.62,"43-49"
"1",49,54,3.8,1.94,"24-43"
"1",44,44,3.2,1.98,"24-43"
"1",62,71,4,3.59,"43-49"
"1",44,54,3,2.94,"24-43"
"1",39,57,2.9,1.86,"43-49"
"1",42,50,2.8,1.37,"49-76"
"2",53,65,2.8,2.7,"49-76"
"2",58,59,3.6,2.23,"49-76"
"2",62,52,3.2,2.37,"43-49"
"1",39,55,2.9,1.37,"24-43"
"2",47,57,2.8,2.13,"24-43"
"2",54,57,2.67,2.22,"49-76"
"2",55,53,2.3,1.64,"43-49"
"2",55,57,3.75,3.34,"49-76"
"2",50,55,3.5,3.11,"43-49"
"1",43,54,3.1,2.56,"43-49"
"1",62,71,3.8,2.89,"43-49"
"1",56,63,3.25,2.03,"24-43"
"2",42,46,3.5,2.02,"49-76"
"1",62,60,3,2.83,"43-49"
"2",50,52,4,3.41,"24-43"
"2",49,45,3.7,2.07,"49-76"
"2",48,49,3.9,3.23,"49-76"
"2",62,58,3.75,2.81,"49-76"
"2",47,64,4,4,"49-76"
"2",46,55,3.25,2.4,"49-76"
"2",54,61,4,3.44,"43-49"
"1",62,55,3,1.61,"43-49"
"1",64,60,3.3,2.83,"49-76"
"1",47,63,2.8,2.5,"49-76"
"2",62,57,4,3.36,"43-49"
"2",62,49,4,2.86,"49-76"
"2",42,39,3.1,1.36,"49-76"
"2",43,52,2.8,2.28,"49-76"
"2",51,50,4,3.6,"24-43"
"1",63,72,4,3.43,"49-76"
"1",70,62,4,3.41,"49-76"
"2",47,45,2.7,2.04,"49-76"
"1",44,59,3.7,3.02,"24-43"
"2",57,45,3.8,3.13,"24-43"
"1",64,66,4,2.98,"24-43"
"2",47,58,3.5,2.11,"43-49"
"1",49,47,2.8,3.29,"24-43"
"2",47,54,4,3.4,"49-76"
"1",61,60,3.7,3.13,"24-43"
"1",60,65,4,2.75,"49-76"
"1",55,56,2.7,2.15,"43-49"
"1",57,49,3,1.61,"49-76"
"1",43,63,3.25,1.86,"43-49"
"2",49,48,2.7,2.48,"43-49"
"2",57,64,3.8,3.25,"43-49"
"2",57,57,3.8,2.54,"49-76"
"2",54,57,4,2.71,"43-49"
"2",45,56,4,3.4,"49-76"
"1",48,68,3,2.21,"24-43"
"1",54,47,3,2.67,"24-43"
"1",64,70,3.67,3.24,"24-43"
"2",47,45,3.7,2.37,"24-43"
"1",58,66,2.5,1.94,"24-43"
"1",32,59,2.9,2.62,"24-43"
"2",44,59,3.6,2.67,"49-76"
"1",61,72,3.5,3.64,"24-43"
"2",52,60,2.8,2.8,"24-43"
"2",52,56,2.75,3.2,"43-49"
"2",47,47,2.8,2.98,"49-76"
"2",43,49,2.5,1.86,"24-43"
"2",50,41,3.5,1.7,"43-49"
"2",54,57,3.8,2.38,"49-76"
"2",38,48,3.25,1.74,"49-76"
"2",40,45,3.5,2.16,"43-49"
"1",40,52,3.7,1.85,"24-43"
"2",42,43,2.5,1.19,"43-49"
"1",59,64,3.2,1.88,"49-76"
"2",42,53,3.4,3.02,"43-49"
"2",53,52,2.75,2.21,"43-49"
"1",55,55,3.4,3,"43-49"
"2",61,57,4,2.71,"49-76"
"2",58,69,4,3.82,"49-76"
"1",53,60,3,2.48,"43-49"
"2",47,60,3.9,3.22,"24-43"
"1",63,57,2.9,2.85,"24-43"
"1",65,70,2.5,2.21,"24-43"
"1",42,55,2.7,2.38,"49-76"
"1",48,60,3.9,3.69,"49-76"
"2",45,44,3.1,1.98,"43-49"
"2",39,51,2.75,1.19,"49-76"
"2",47,55,3.5,3,"24-43"
"1",46,49,2.1,0.92,"43-49"
"2",59,47,2.75,3.38,"49-76"
"2",50,48,3.3,3.35,"24-43"
"1",71,62,3.5,2.42,"24-43"
"1",43,57,2.7,1.73,"49-76"
"2",58,55,2.9,3.23,"24-43"
"1",36,53,2.9,1.6,"43-49"
"2",57,60,3.7,2.43,"24-43"
"1",46,56,3.7,2.66,"49-76"
"2",52,50,3.9,3.13,"43-49"
"2",51,50,4,3.77,"49-76"
"2",39,47,2.6,0,"24-43"
"1",53,64,2.3,2.24,"43-49"
"1",47,54,2.67,1.5,"49-76"
"2",50,57,3.9,2.54,"49-76"
"1",58,61,4,2.47,"43-49"
"2",45,56,2.8,2.29,"43-49"
"1",43,57,3,2.36,"49-76"
"1",50,58,3,2.59,"49-76"
"1",29,53,2.7,0.9,"49-76"
"2",52,57,3.75,3.06,"49-76"
"2",56,61,3,1.57,"43-49"
"1",59,56,2.4,2.98,"49-76"
"2",52,56,3.75,3.48,"49-76"
"2",39,49,2.9,1.72,"49-76"
"1",47,66,3.5,2.86,"43-49"
"1",43,54,3.1,2.4,"24-43"
"2",40,57,3.1,2.92,"49-76"
"2",40,48,3,2.56,"43-49"
"1",47,53,2.7,2,"49-76"
"2",53,67,4,3.89,"49-76"
"1",54,63,3.3,2.2,"24-43"
"1",45,57,2.9,2.28,"24-43"
"2",57,64,3.8,1.94,"24-43"
"1",42,56,4,2.8,"43-49"
"2",49,60,3.25,1.8,"49-76"
"1",35,64,3.5,2.36,"49-76"
"2",42,61,2.9,1.52,"24-43"
"1",57,61,3.3,1.98,"43-49"
"1",47,55,2.8,1.91,"49-76"
"2",49,52,4,2.04,"43-49"
"1",44,39,2.25,1.58,"49-76"
"1",55,44,2.7,1.83,"24-43"
"2",55,59,3.25,2.75,"24-43"
"1",61,66,2.5,1.8,"49-76"
"2",42,47,3.7,2.66,"24-43"
"1",50,50,3.5,2.6,"24-43"
"2",53,51,2.8,1.83,"49-76"
"1",64,64,3.2,2.43,"43-49"
"1",41,53,2.5,1.69,"43-49"
"1",60,64,4,3.79,"24-43"
"2",46,51,3.75,3.27,"43-49"
"1",55,55,2.9,2.54,"43-49"
"1",50,60,3,2.81,"49-76"
"2",47,51,2.5,1.71,"24-43"
"2",44,59,4,3.22,"24-43"
"2",40,57,3,2.6,"49-76"
"2",63,53,3.33,3.59,"49-76"
"1",55,56,2.5,1.79,"49-76"
"1",33,50,3,2.33,"49-76"
"2",37,43,2.9,1.33,"43-49"
"1",56,35,2.5,0.55,"49-76"
"1",43,51,2.3,1.72,"43-49"
"2",35,55,3.5,2.37,"43-49"
"2",54,55,4,2.91,"49-76"
"2",33,46,3,2.8,"49-76"
"1",46,60,3.5,2.56,"49-76"
"1",64,61,4,2.47,"43-49"
"2",47,49,3.4,3.02,"24-43"
"2",44,55,3.3,1.74,"43-49"
"2",39,63,2.75,2.48,"49-76"
"1",48,59,3.75,1.74,"49-76"
"1",43,63,2.8,2.12,"49-76"
"2",42,45,2.9,2.23,"49-76"
"2",49,58,3.4,2.55,"49-76"
"1",60,48,2.7,2.15,"49-76"
"1",64,71,2.8,3.23,"24-43"
"1",47,43,2.7,1.84,"24-43"
"1",50,72,3.4,1.43,"43-49"
"1",59,65,2.4,2.98,"49-76"
"2",54,57,3.5,2.44,"49-76"
"1",47,51,2.75,2.17,"49-76"
"1",59,69,3.2,2.67,"43-49"
"1",62,72,3.8,3.48,"49-76"
"1",50,60,3,3.24,"43-49"
"2",44,46,3.5,2.96,"49-76"
"1",59,66,2.47,2.72,"24-43"
"1",39,58,2.9,1.32,"43-49"
"2",36,58,2.9,2.62,"43-49"
"2",53,65,2.9,2.8,"49-76"
"2",50,55,3.3,3.04,"49-76"
"2",50,43,3.2,3.27,"24-43"
"1",42,56,2.75,1.14,"24-43"
"2",53,51,2.8,1.16,"49-76"
"2",47,44,2.7,2.33,"43-49"
"2",45,48,2.56,1.66,"24-43"
"1",56,52,3,2.09,"24-43"
"2",46,48,2.7,2.33,"24-43"
"1",60,68,4,3.8,"49-76"
"1",48,54,3,2.33,"43-49"
"1",44,50,3.25,1.74,"43-49"
"2",42,47,3,2,"43-49"
"2",39,53,2.75,1.65,"49-76"
"1",38,57,2.7,2.29,"24-43"
"2",39,51,2.75,1.15,"24-43"
"1",31,48,2.7,1.76,"24-43"
"1",44,54,3.2,1.5,"43-49"
"1",52,64,3.75,3.62,"24-43"
"1",39,48,3.2,2.02,"49-76"
"1",34,50,3.3,3.4,"24-43"
"2",50,45,2.8,2.24,"49-76"
"2",40,40,3.8,1.69,"24-43"
"2",45,57,2.8,1.6,"24-43"
"2",50,47,2.7,2.38,"24-43"
"1",57,58,3.75,2.88,"49-76"
"1",42,64,3.1,3.09,"49-76"
"1",52,66,3.75,2.6,"24-43"
"1",41,63,3.3,1.86,"43-49"
"1",42,50,3.8,2.24,"24-43"
"2",64,54,3.7,2.4,"43-49"
"1",42,65,2.3,1.8,"49-76"
"2",55,47,2.75,2.17,"43-49"
"1",45,66,3.3,1.64,"24-43"
"1",44,54,3.5,2.56,"49-76"
"1",37,62,4,2.24,"49-76"
"1",48,58,3.8,3.69,"49-76"
"1",57,66,2.7,2.71,"24-43"
"1",62,60,4,3.37,"49-76"
"2",46,51,3.1,2.1,"43-49"
"1",41,50,2.25,1.68,"49-76"
"2",50,58,3.2,1.88,"43-49"
"1",53,59,4,3.67,"49-76"
"2",43,33,3.5,1.56,"49-76"
"2",67,57,3.8,3.79,"43-49"
"2",40,57,3,2.39,"49-76"
"2",62,57,3.7,2.9,"24-43"
"1",47,48,3.1,2.6,"43-49"
"1",41,50,3.5,3.08,"49-76"
"2",54,54,3.5,3.38,"43-49"
"2",53,50,3.25,2.68,"24-43"
"1",43,59,3.4,2.52,"24-43"
"2",55,49,2.3,1.5,"49-76"
"2",33,53,3,2.8,"49-76"
"2",57,69,4,2.55,"43-49"
"2",50,45,2.6,3.16,"24-43"
"2",50,33,2.75,2.4,"43-49"
"1",51,77,3.75,3.08,"43-49"
"1",44,51,3.2,2.4,"24-43"
"2",49,48,3.25,3.06,"43-49"
"1",69,64,3.5,2.42,"43-49"
"1",49,58,3.25,2.91,"43-49"
"2",57,55,4,2.27,"24-43"
"2",54,56,3.75,2.48,"43-49"
"2",53,52,4,2.98,"24-43"
"1",41,49,2,0.92,"49-76"
"2",47,48,4,3.23,"43-49"
"2",49,42,3.6,2.96,"43-49"
"1",50,63,2.9,2.57,"49-76"
"1",49,55,4,3.69,"43-49"
"1",46,51,2.8,2.19,"24-43"
"1",55,60,3.5,3.64,"49-76"
"2",44,39,3.1,2.98,"24-43"
"1",58,57,3,1.61,"43-49"
"2",63,51,3.2,2.79,"24-43"
"2",45,56,2.7,1.73,"43-49"
"2",60,49,3,2.19,"49-76"
"1",47,62,3.3,1.8,"49-76"
"2",48,62,3.3,3.38,"43-49"
"1",48,56,3.8,2.98,"43-49"
"2",57,62,3.5,3.94,"24-43"
"2",49,55,3.5,3.04,"24-43"
"2",50,38,3.25,1.91,"49-76"
"1",42,52,2.2,1.7,"43-49"
"1",33,53,2.8,2.62,"49-76"
"1",50,60,3,2.91,"43-49"
"2",47,58,3.3,2.91,"43-49"
"2",46,55,3.33,1.9,"49-76"
