,sex,sat_v,sat_m,hs_gpa,fy_gpa
85,2,41,52,3.83,3.05
86,2,62,49,4.15,2.82
87,1,53,45,2.39,3.14
88,2,38,46,4.05,2.76
89,1,42,50,2.25,1.83
90,1,56,54,2.27,3.13
91,2,54,60,4.1,3.16
92,1,43,69,2.75,1.37
93,1,36,48,3.48,1.81
94,2,45,59,3.0,3.48
95,2,42,47,3.76,2.13
96,2,43,49,3.25,3.31
97,2,55,56,3.97,3.38
98,1,48,55,2.11,1.33
99,1,43,56,3.04,0.69
100,2,53,54,3.89,3.55
101,2,55,68,4.19,3.58
102,1,54,61,2.4,2.59
103,2,50,47,2.9,2.72
104,1,50,54,4.07,3.17
105,1,50,63,2.21,1.77
106,1,50,61,2.89,2.89
107,1,39,57,3.09,2.01
108,2,31,55,3.23,1.06
109,2,52,52,3.07,2.05
110,1,53,65,3.92,3.56
111,2,49,61,3.91,3.6
112,2,51,57,4.05,2.35
113,1,53,57,1.93,0.98
114,1,42,70,2.01,1.46
115,2,33,50,2.02,1.65
116,2,43,57,2.98,2.59
117,2,50,55,2.05,2.22
118,2,47,57,2.46,2.74
119,2,39,60,2.47,0.86
120,2,56,58,3.81,3.34
121,2,52,63,3.88,2.14
122,2,41,61,2.32,1.36
123,1,46,56,3.75,2.36
124,1,54,58,3.75,4.0
125,2,39,54,2.55,1.72
126,2,45,57,3.88,1.38
127,1,42,61,1.88,0.99
128,1,46,48,3.66,2.47
129,1,51,48,2.49,1.89
130,2,32,44,2.64,0.63
131,2,54,50,3.73,3.55
132,2,42,54,3.03,2.48
133,2,52,46,3.01,3.92
134,2,44,58,2.53,1.44
135,2,51,40,2.31,2.02
136,2,51,60,3.23,3.73
137,2,35,45,2.59,1.32
138,1,33,49,2.89,1.09
139,2,55,57,3.84,3.12
140,1,50,49,3.24,1.27
141,1,45,71,3.17,3.51
142,1,42,59,2.72,2.34
143,2,40,57,3.92,2.55
144,1,37,47,3.73,1.82
145,2,47,44,2.92,1.64
146,2,40,52,2.17,3.27
147,2,39,58,3.71,1.9
148,2,36,35,2.98,1.85
149,2,70,60,2.64,3.16
150,1,41,51,3.86,2.42
151,2,63,62,3.42,3.15
152,2,45,50,2.98,0.91
153,2,42,52,2.74,2.58
154,2,33,54,3.89,2.87
155,1,47,46,4.05,1.83
156,1,40,47,3.89,2.77
157,1,41,58,3.13,1.52
158,1,50,39,2.8,1.95
159,1,57,59,3.11,2.3
160,1,49,60,3.7,1.94
161,2,48,52,3.96,3.38
162,2,40,39,1.83,1.98
163,1,49,45,3.62,2.2
164,2,56,52,3.13,3.41
165,2,40,57,2.85,1.42
166,1,68,57,3.69,2.29
167,2,35,57,3.97,2.01
168,2,38,56,2.86,1.85
169,2,36,45,2.9,0.89
170,2,54,52,4.03,3.32
171,2,38,59,2.42,1.62
172,2,44,56,3.4,2.42
173,2,57,53,3.55,3.91
174,2,38,54,3.94,2.85
175,2,39,65,3.99,3.8
176,2,45,58,3.73,2.54
177,2,34,52,2.48,1.81
178,2,50,58,3.97,2.1
179,2,37,63,3.11,3.6
180,2,52,56,3.98,2.62
181,2,43,46,3.72,2.06
182,2,53,59,3.95,3.29
183,1,33,59,3.74,2.28
184,1,38,56,3.8,2.1
185,2,44,41,2.19,1.14
186,2,38,41,2.72,1.13
187,1,48,58,2.76,1.98
188,1,44,58,4.18,1.21
189,2,41,55,2.2,2.5
190,1,42,61,1.99,1.38
191,2,47,63,4.11,3.86
192,1,54,60,3.39,2.46
193,1,40,56,2.72,2.14
194,2,41,58,3.02,2.6
195,2,32,59,2.07,1.51
196,2,38,55,4.0,3.48
197,2,56,56,3.32,2.85
198,1,49,42,3.69,1.94
199,2,44,58,2.66,2.3
200,2,53,56,3.94,1.74
201,1,50,55,1.99,1.02
202,2,56,62,2.36,2.94
203,1,37,48,3.6,2.12
204,2,43,54,2.4,3.25
205,1,46,57,2.37,1.76
206,2,43,64,2.89,4.0
207,2,51,57,3.9,3.15
208,1,45,57,2.79,2.46
209,2,41,59,2.75,0.48
210,1,43,51,3.36,2.67
211,2,50,51,2.69,2.27
212,2,49,55,2.73,2.99
213,2,35,46,2.99,2.72
214,1,42,49,2.43,2.05
215,2,57,59,3.29,3.8
216,2,44,48,2.79,1.38
217,2,40,40,4.21,2.2
218,2,34,40,3.74,3.7
219,1,50,59,3.91,3.58
220,2,58,51,3.9,2.51
221,2,42,50,2.84,2.37
222,1,60,63,3.62,3.48
223,2,45,50,2.65,2.35
224,2,45,59,3.72,3.77
225,2,42,50,3.47,2.44
226,1,42,64,2.77,2.24
227,1,44,55,3.63,2.28
228,2,41,49,2.04,1.13
229,2,46,56,3.39,3.3
230,2,48,52,3.89,3.26
231,1,50,51,3.27,2.62
232,2,52,58,2.87,1.16
233,1,50,61,3.97,2.08
234,1,33,58,2.09,1.21
235,2,52,60,3.84,2.26
236,1,50,43,2.06,2.21
237,2,59,57,3.9,2.73
238,2,54,59,2.11,1.89
239,2,37,51,3.86,2.56
240,1,67,62,3.91,2.76
241,1,61,68,3.89,2.98
242,2,41,47,2.09,1.88
243,1,45,51,3.99,3.88
244,2,46,59,2.89,1.74
245,2,50,40,3.03,1.04
246,2,32,58,3.79,3.51
247,2,45,56,4.05,3.76
248,1,46,43,2.1,1.19
249,1,43,48,2.85,1.27
250,2,37,55,2.22,2.44
251,2,46,61,1.94,1.97
252,1,72,50,3.95,2.28
253,2,45,59,3.51,3.56
254,2,39,61,2.59,1.68
255,2,38,47,3.74,1.51
256,2,49,47,2.37,2.87
257,2,48,56,2.89,3.0
258,2,52,52,3.85,3.49
259,1,43,64,2.75,2.81
260,2,36,60,4.1,2.26
261,2,46,66,2.55,1.58
262,2,56,63,2.31,1.47
263,2,36,60,3.51,1.99
264,2,35,57,2.65,1.64
265,2,56,40,2.96,2.02
266,2,52,53,3.99,1.95
267,2,35,44,3.33,3.07
268,2,54,48,3.99,3.91
269,2,56,57,2.76,2.77
270,1,43,56,2.99,1.68
271,2,42,55,3.38,1.95
272,2,47,69,3.89,3.26
273,2,53,54,3.68,1.77
274,1,49,62,3.84,2.78
275,1,46,53,3.06,3.27
276,1,55,70,2.86,2.21
277,2,41,75,3.37,2.89
278,2,36,48,2.28,0.77
279,2,47,49,3.66,2.05
280,2,55,51,3.28,2.15
281,2,50,67,3.79,3.04
282,2,46,60,3.88,4.0
283,2,46,63,3.68,2.44
284,2,36,49,2.54,1.7
285,2,37,60,3.09,1.6
286,2,62,54,3.74,2.2
287,2,54,53,2.58,2.14
288,2,45,52,3.12,1.66
289,2,38,53,2.83,1.31
290,1,43,65,2.77,2.15
291,2,40,58,1.94,1.41
292,2,41,58,2.77,3.07
293,2,42,56,3.1,0.63
294,1,48,54,3.4,0.5
295,2,39,38,2.2,0.98
296,1,50,56,2.64,0.85
297,1,39,60,2.41,0.65
298,2,50,50,2.5,1.78
299,2,63,61,3.96,3.79
300,2,31,59,2.82,1.49
301,2,55,58,3.23,3.71
302,1,40,51,4.0,3.21
303,2,31,58,2.82,2.27
304,2,53,54,3.72,2.64
305,2,50,62,3.27,2.54
306,2,42,50,3.82,1.6
307,1,43,37,3.3,3.69
308,1,67,65,4.06,2.04
309,2,39,53,2.36,1.07
310,2,41,52,2.12,1.55
311,2,35,49,2.77,1.87
312,2,37,43,2.15,2.36
313,2,50,51,3.24,2.31
314,2,44,54,3.32,0.98
315,2,57,54,4.01,3.42
316,2,40,50,3.71,1.28
317,1,50,52,2.17,1.27
318,2,41,68,3.11,2.02
319,2,51,56,3.94,2.96
320,2,49,64,3.71,3.78
321,2,45,54,2.28,2.26
322,1,49,59,3.8,1.61
323,1,49,56,3.16,2.32
324,2,50,54,3.92,2.42
325,2,48,42,3.37,1.67
326,2,52,49,3.78,2.2
327,2,50,49,3.74,1.9
328,1,49,60,1.94,1.67
329,2,40,39,3.19,3.22
330,2,70,61,3.69,3.36
331,1,45,50,2.95,2.05
332,2,63,53,3.87,2.68
333,2,43,52,3.02,3.38
334,1,50,59,2.75,1.96
335,2,39,53,2.07,1.57
336,1,50,57,2.64,1.69
337,2,47,48,2.72,1.8
338,2,43,60,2.81,1.58
339,1,50,63,3.74,2.98
340,2,47,49,4.0,3.42
341,2,48,48,2.73,1.99
342,1,43,67,2.93,1.66
343,2,40,65,2.99,3.25
344,2,53,57,3.82,2.01
345,2,38,49,4.19,2.5
346,2,41,47,2.04,2.26
347,2,45,65,3.83,2.02
348,2,56,51,4.06,3.08
349,2,49,43,2.09,1.87
350,2,57,64,3.96,2.59
351,1,46,60,2.88,0.88
352,2,56,58,3.77,2.98
353,2,48,53,3.49,2.35
354,1,38,59,3.16,2.11
355,1,63,63,3.93,3.59
356,2,53,41,2.7,2.65
357,1,58,68,2.97,1.87
358,2,42,51,2.75,1.03
359,1,46,56,2.59,1.69
360,2,42,65,3.24,3.15
361,2,70,55,3.69,2.99
362,2,52,44,3.29,2.02
363,2,41,47,3.61,2.45
364,2,29,50,3.26,2.13
365,1,46,57,3.67,2.18
366,2,42,60,2.62,1.68
367,2,36,68,2.51,1.36
368,2,54,51,2.72,3.11
369,2,58,61,3.89,3.85
370,2,45,58,2.02,1.79
371,1,42,45,2.31,0.7
372,1,43,53,2.27,1.46
373,2,56,56,2.52,2.78
374,1,40,52,3.88,2.28
375,2,38,69,2.06,1.39
376,2,67,42,4.01,2.72
377,2,40,51,3.05,4.0
378,2,49,63,2.71,2.79
379,2,62,54,4.01,3.46
380,2,38,52,2.67,3.34
381,2,47,54,3.81,1.54
382,2,50,52,2.78,3.02
383,2,40,52,2.23,1.87
384,2,47,50,2.68,4.0
385,2,51,50,4.02,2.21
386,2,45,52,3.44,2.62
387,1,40,53,2.41,1.47
388,2,41,53,3.2,2.84
389,2,36,58,2.29,1.52
390,1,42,57,3.0,1.22
391,1,64,62,3.84,2.84
392,2,41,58,3.77,2.47
393,2,46,57,2.1,2.34
394,2,37,57,3.46,2.74
395,2,46,64,3.78,1.8
396,1,49,55,4.11,1.95
397,2,45,57,2.76,2.41
398,1,31,49,3.08,2.14
399,2,43,45,3.01,2.34
400,2,40,56,2.74,1.27
401,2,40,52,2.63,2.22
402,2,39,56,4.02,2.97
403,2,34,54,4.1,2.98
404,2,48,52,3.53,2.42
405,2,54,54,3.34,3.19
406,2,42,59,2.46,2.03
407,2,41,49,3.04,1.59
408,1,45,53,2.25,2.79
409,2,43,59,4.18,3.25
410,2,53,61,2.48,2.39
411,1,45,49,1.97,1.03
412,2,47,68,2.39,2.24
413,2,39,55,2.72,1.79
414,2,40,50,3.54,2.91
415,2,53,57,2.56,1.19
416,2,45,42,2.79,0.46
417,1,44,51,2.1,3.0
418,1,48,57,3.65,1.64
419,2,44,45,2.37,1.49
420,2,44,53,2.97,3.87
421,2,40,63,2.49,2.63
422,1,47,62,2.11,1.66
423,2,60,57,3.99,2.54
424,2,54,50,3.09,2.31
425,2,37,61,3.04,0.84
426,2,45,56,2.64,1.82
427,2,41,51,3.12,2.18
428,2,55,56,3.84,3.61
429,2,58,46,2.92,2.1
430,1,49,54,3.82,2.58
431,1,37,61,2.26,0.6
432,2,44,61,2.1,3.66
433,2,55,59,3.86,3.83
434,1,51,45,2.84,1.26
435,2,54,53,4.25,3.97
436,2,50,60,3.76,3.51
437,2,39,56,3.16,0.99
438,2,54,52,3.04,2.88
439,1,49,64,4.08,2.96
440,2,47,45,1.99,1.43
441,2,47,48,3.92,3.88
442,1,47,53,3.91,3.7
443,1,57,64,4.01,3.44
444,2,42,54,1.92,2.29
445,2,40,49,3.02,3.53
446,2,47,52,3.8,3.8
447,2,46,55,2.2,2.44
448,2,41,51,3.52,3.33
449,1,50,69,3.48,3.04
450,2,41,59,2.63,2.85
451,2,37,53,3.58,1.84
452,1,46,59,3.88,3.54
453,2,38,54,2.95,2.66
454,2,56,54,3.7,3.93
455,2,47,55,3.69,3.3
456,2,33,59,3.75,1.89
457,2,63,55,3.63,2.86
458,2,44,53,2.75,1.28
459,1,56,55,3.19,1.58
460,1,50,49,2.38,0.9
461,1,42,56,2.26,1.37
462,1,40,37,3.7,1.43
463,2,44,53,2.99,1.28
464,2,47,66,3.98,2.56
465,1,34,51,2.17,2.01
466,1,57,47,2.36,0.57
467,1,35,50,2.97,0.92
468,2,46,63,3.17,1.12
469,1,36,45,3.12,1.74
470,1,65,64,3.93,2.52
471,2,48,53,3.85,3.43
472,2,44,55,2.42,1.13
473,2,48,45,2.89,0.93
474,1,47,65,3.97,1.7
475,2,40,53,3.81,1.77
476,1,43,58,3.63,2.69
477,2,50,45,2.72,2.14
478,2,40,57,2.81,1.61
479,2,44,46,4.04,3.18
480,1,64,66,3.67,3.16
481,2,40,41,2.54,1.21
482,1,37,56,1.9,1.68
483,2,61,68,3.79,3.94
484,1,60,71,4.05,2.86
485,1,41,48,2.87,0.89
486,1,46,63,3.65,2.78
487,2,46,57,2.6,3.68
488,2,59,62,4.13,3.27
489,2,53,55,2.6,3.29
490,2,48,58,2.02,0.93
491,2,44,42,2.96,2.14
492,2,43,47,3.58,3.04
493,2,42,49,2.52,1.3
494,1,43,48,3.35,1.06
495,1,45,57,2.69,1.58
496,2,48,56,2.62,3.57
497,1,38,48,3.54,0.5
498,2,49,55,2.69,1.61
499,2,43,56,2.15,2.2
500,2,57,43,3.54,3.34
501,2,35,53,2.6,2.48
502,2,43,48,2.5,1.92
503,2,45,58,3.89,2.52
504,2,45,51,3.42,3.59
505,1,46,49,3.5,1.92
506,1,57,57,3.45,3.44
507,1,48,53,2.81,2.91
508,1,37,58,2.04,2.13
509,2,37,51,3.0,1.78
510,1,39,60,3.78,2.4
511,2,41,57,4.24,2.7
512,2,43,52,3.32,2.2
513,1,49,67,3.95,3.24
514,1,47,57,2.11,1.63
515,2,47,42,3.13,1.97
516,2,46,61,2.66,1.43
517,2,38,59,2.89,1.78
518,1,35,53,2.8,0.85
519,2,38,56,3.06,3.53
520,2,42,56,2.02,0.94
521,2,43,45,3.09,1.69
522,1,59,62,2.11,3.94
523,1,51,59,2.86,1.37
524,1,34,42,3.07,1.05
525,2,31,48,3.79,2.68
526,2,68,57,3.71,3.92
527,1,65,58,3.65,2.39
528,1,57,57,3.22,3.61
529,1,41,65,3.09,2.04
530,2,51,69,3.48,2.98
531,2,42,47,2.55,3.61
532,2,42,53,3.83,3.51
533,2,38,31,4.05,2.7
534,1,46,51,2.56,1.26
535,2,52,54,3.48,3.03
536,2,41,56,3.88,2.12
537,2,36,36,3.6,2.22
538,2,44,58,4.13,3.57
539,2,36,65,2.09,1.59
540,2,54,53,2.4,2.23
541,2,49,50,2.64,1.2
542,2,46,65,2.1,2.09
543,2,36,49,2.89,1.94
544,2,48,55,3.92,2.65
545,2,49,49,3.72,2.92
546,2,52,52,3.09,1.47
547,2,53,53,3.06,1.88
548,1,42,49,2.67,1.33
549,2,55,58,2.54,2.67
550,1,52,60,3.47,2.79
551,2,53,59,4.01,3.79
552,2,49,57,3.98,3.01
553,2,46,59,2.75,2.57
554,2,44,53,3.22,2.64
555,1,42,60,2.3,0.83
556,2,52,56,2.48,3.67
557,1,52,53,3.93,2.09
558,2,46,55,3.29,2.55
559,2,30,57,3.12,1.63
560,1,53,48,3.9,3.21
561,2,66,60,3.68,3.59
562,2,49,57,3.37,3.03
563,1,45,58,2.45,1.81
564,2,42,59,2.3,1.04
565,1,43,51,3.8,1.81
566,2,41,57,3.9,2.84
567,2,60,54,4.05,3.81
568,2,53,53,3.6,2.44
569,2,40,58,2.9,1.47
570,2,47,65,3.39,3.11
571,1,57,73,3.78,3.65
572,2,45,56,2.47,2.07
573,2,42,59,2.63,3.27
574,2,38,53,2.14,1.32
575,2,47,58,2.25,1.54
576,1,42,59,2.35,1.89
577,1,51,70,3.88,2.37
578,2,61,48,3.92,3.79
579,2,49,52,2.49,2.62
580,1,40,57,3.73,2.07
581,2,44,51,2.67,1.59
582,2,40,48,2.13,1.35
583,1,45,60,3.87,2.19
584,2,45,59,3.06,1.86
585,1,51,57,3.15,3.24
586,2,53,45,3.44,3.2
587,1,34,56,3.99,1.1
588,2,40,43,2.39,2.15
589,1,28,52,2.7,3.14
590,1,37,53,3.38,2.61
591,2,46,61,2.98,3.57
592,1,43,48,2.98,1.87
593,2,56,57,3.88,3.59
594,1,60,60,2.46,3.57
595,1,41,58,3.13,1.55
596,2,41,52,1.92,1.48
597,2,62,43,3.91,2.12
598,1,50,51,3.45,2.32
599,2,37,50,2.71,2.97
600,2,48,55,2.37,0.91
601,1,37,54,2.29,1.39
602,2,44,53,3.94,2.16
603,2,36,48,3.0,0.91
604,1,48,60,3.92,3.22
605,2,40,55,3.22,1.74
606,1,45,67,2.81,3.81
607,2,40,46,2.46,1.93
608,1,49,58,3.68,3.04
609,1,54,51,3.69,2.87
610,2,47,59,3.4,3.42
611,2,53,43,2.06,3.13
612,1,42,58,3.88,2.18
613,2,52,57,3.94,2.03
614,2,34,39,2.77,1.27
615,1,48,49,2.86,2.81
616,2,44,41,3.33,2.31
617,2,44,56,2.93,2.49
618,2,52,64,3.1,2.24
619,1,49,62,2.71,1.81
620,2,31,62,3.31,3.8
621,1,42,62,2.95,2.35
622,1,50,51,2.41,2.25
623,2,43,54,3.35,2.04
624,2,47,49,3.14,1.63
625,2,38,57,3.23,2.83
626,1,48,51,2.69,2.0
627,2,48,39,2.68,1.71
628,2,42,48,2.65,1.46
629,2,44,62,2.34,4.0
630,2,50,50,2.46,1.47
631,2,34,66,3.66,1.96
632,1,64,55,3.94,4.0
633,2,53,50,2.54,3.35
634,1,50,58,2.29,3.2
635,2,46,44,3.63,2.01
636,2,49,68,4.03,4.0
637,2,37,50,2.81,2.16
638,1,51,62,2.06,2.83
639,2,35,51,2.45,2.03
640,2,55,42,2.39,1.34
641,1,45,56,2.27,1.85
642,2,41,49,2.58,2.22
643,1,41,65,2.72,2.16
644,2,53,47,3.0,1.84
645,2,40,48,2.61,2.69
646,2,54,55,3.55,3.15
647,2,43,53,3.69,2.99
648,2,44,45,2.16,1.9
649,2,43,65,2.86,1.73
650,2,47,52,3.15,3.43
651,2,54,61,3.98,3.78
652,2,41,65,2.59,0.41
653,2,57,56,3.73,2.92
654,1,42,53,3.49,1.55
655,2,48,57,2.16,2.1
656,1,40,57,3.32,2.51
657,2,50,57,4.26,2.86
658,1,53,54,2.55,2.33
659,1,47,45,2.89,1.62
660,2,35,49,3.22,1.73
661,2,43,54,3.76,2.7
662,1,40,54,3.38,1.48
663,1,42,57,3.11,0.97
664,2,56,55,3.86,3.89
665,2,43,52,3.57,1.43
666,2,44,49,3.41,2.57
667,2,40,51,3.9,3.05
668,2,25,42,2.46,1.79
669,2,38,45,2.62,0.98
670,2,42,53,3.72,3.19
671,2,37,57,3.58,2.47
672,1,39,65,1.9,1.4
673,2,47,52,4.03,2.43
674,1,42,62,4.05,1.64
675,1,53,60,3.53,3.92
676,2,63,59,4.08,3.04
677,2,39,55,2.63,3.48
678,2,56,62,3.99,3.21
679,2,42,58,2.61,3.53
680,2,45,51,3.2,1.65
681,2,54,62,4.05,2.73
682,2,43,65,3.85,3.47
683,2,44,49,3.05,3.64
684,2,36,56,3.06,2.0
685,1,40,55,2.77,2.29
686,1,46,59,2.09,3.82
687,2,51,58,2.58,1.75
688,2,42,50,3.57,2.95
689,2,36,65,2.82,2.61
690,1,50,53,2.83,1.65
691,1,68,57,4.0,3.91
692,1,47,48,3.49,1.85
693,2,43,58,2.58,1.31
694,2,54,62,2.63,3.3
695,2,49,44,3.9,2.34
696,1,56,52,2.63,2.66
697,2,52,62,4.02,3.8
698,1,40,52,2.77,1.71
699,2,48,66,3.82,1.6
700,2,69,56,4.18,3.37
701,1,57,66,4.04,3.1
702,2,52,52,2.64,2.34
703,2,54,62,3.62,3.79
704,2,48,55,3.78,1.77
705,1,55,59,3.78,3.73
706,2,30,51,3.39,2.81
707,1,44,44,2.55,0.73
708,2,39,50,2.84,1.56
709,2,50,65,3.54,3.5
710,2,50,44,2.52,1.48
711,2,38,51,2.52,1.98
712,2,48,59,3.14,3.28
713,2,43,46,1.96,2.47
714,2,30,42,2.56,1.29
715,1,62,69,3.64,3.83
716,1,47,55,3.92,2.5
717,1,52,41,3.17,1.99
718,2,37,36,2.97,1.2
719,2,51,61,3.89,3.89
720,2,48,57,2.52,3.37
721,1,56,52,3.46,1.76
722,1,53,58,3.03,1.75
723,1,37,48,2.16,1.13
724,2,50,39,3.9,2.11
725,1,39,46,3.24,1.5
726,2,45,55,2.72,2.82
727,1,49,55,2.76,2.72
728,2,57,48,3.16,2.21
729,1,40,59,3.8,1.83
730,2,44,55,3.31,2.18
731,2,33,62,3.22,2.14
732,2,45,58,3.37,2.86
733,1,37,47,2.65,0.6
734,2,40,52,3.01,3.05
735,1,48,56,2.72,2.83
736,2,56,62,3.86,3.85
737,2,35,51,3.79,2.01
738,2,39,51,2.88,1.63
739,2,41,55,3.43,2.06
740,1,45,66,3.81,2.42
741,1,61,59,3.87,2.54
742,1,51,56,3.7,3.87
743,2,51,60,3.13,3.75
744,2,61,61,3.94,2.98
745,2,42,49,2.23,0.89
746,1,43,51,2.69,0.99
747,2,59,53,3.61,2.86
748,2,49,63,3.15,1.52
749,2,57,61,2.11,3.33
750,1,46,55,3.35,2.57
751,1,51,59,3.39,2.98
752,2,43,55,2.88,1.14
753,2,46,55,2.75,0.58
754,2,53,57,3.59,3.54
755,2,41,48,3.84,2.65
756,2,42,48,2.2,1.19
757,2,34,58,3.34,1.61
758,2,48,53,2.31,2.19
759,2,41,52,2.48,3.01
760,2,45,43,1.96,0.83
761,1,38,50,2.12,0.95
762,2,38,55,3.21,1.61
763,2,52,54,3.65,1.78
764,2,38,61,3.21,2.25
765,2,62,52,3.96,3.68
766,2,42,46,3.44,1.95
767,1,64,55,3.39,3.8
768,2,42,56,3.81,2.21
769,2,45,69,3.79,2.3
770,1,47,51,4.01,3.34
771,1,46,60,2.92,1.25
772,1,43,60,2.32,2.97
773,2,38,51,2.65,1.39
774,1,41,52,2.44,0.75
775,2,69,54,2.63,3.37
776,1,56,56,3.68,3.75
777,2,44,45,3.2,0.95
778,1,59,66,3.6,2.67
779,2,55,50,3.64,3.24
780,2,39,54,3.73,2.99
781,2,57,53,3.38,3.38
782,1,47,65,2.43,2.65
783,2,53,55,3.87,2.66
784,2,43,55,3.79,2.29
785,1,40,58,2.58,2.41
786,1,51,68,3.95,3.01
787,1,52,59,3.95,3.41
788,2,44,56,3.09,1.72
789,1,43,61,2.55,2.32
790,1,47,58,2.37,0.97
791,2,49,39,3.7,3.4
792,1,50,66,3.26,3.21
793,2,53,55,2.06,1.09
794,2,39,48,2.97,1.73
795,2,47,55,4.12,1.82
796,1,54,52,3.68,3.16
797,1,48,54,4.11,3.12
798,2,42,57,3.19,3.05
799,2,61,60,2.63,3.46
800,2,50,60,3.89,1.74
801,1,41,58,2.73,0.82
802,1,45,57,2.93,1.98
803,1,44,51,2.71,1.49
804,2,35,60,2.65,2.48
805,2,34,54,2.91,2.28
806,2,44,54,3.45,1.83
807,2,49,54,3.39,2.25
808,2,46,56,3.01,2.22
809,2,47,48,3.97,2.28
810,1,35,57,3.81,3.29
811,2,51,53,2.94,2.6
812,2,39,45,1.99,1.93
813,2,46,49,2.8,1.93
814,2,53,42,2.63,0.53
815,2,35,49,2.48,1.33
816,1,44,43,3.72,2.53
817,1,64,60,3.23,3.33
818,2,64,61,2.65,2.92
819,1,41,53,2.71,1.46
820,2,37,48,2.9,2.47
821,2,54,53,2.94,2.25
822,2,49,51,3.83,3.88
823,2,53,54,2.28,1.0
824,2,50,39,3.59,3.56
825,2,41,63,4.13,3.28
826,2,46,41,2.4,0.88
827,2,35,51,3.39,2.81
828,1,44,57,2.2,0.84
829,2,51,53,3.8,2.75
830,2,43,42,2.65,2.26
831,1,46,55,2.87,0.89
832,2,46,57,2.6,1.57
833,2,45,52,2.69,2.09
834,2,39,56,2.69,1.34
835,2,64,54,3.63,3.32
836,2,56,59,2.96,3.61
837,2,53,63,3.67,3.07
838,1,39,42,3.06,1.25
839,2,59,56,3.4,3.7
840,2,32,68,2.63,1.98
841,2,53,58,2.77,2.42
842,2,52,48,2.58,0.56
843,1,47,53,4.03,2.72
844,2,44,47,2.38,1.5
845,2,39,63,4.03,2.35
846,1,58,63,2.93,3.11
847,2,51,47,2.17,0.97
848,1,67,55,2.4,3.67
849,2,59,66,4.19,3.29
850,1,47,56,3.12,0.88
851,2,39,58,2.49,2.61
852,2,39,53,2.57,1.96
853,1,60,55,3.71,2.4
854,1,43,51,3.75,1.82
855,1,42,63,2.76,0.98
856,2,47,55,3.11,3.34
857,2,33,50,3.17,3.44
858,2,37,70,3.4,2.13
859,2,47,61,3.63,2.3
860,1,51,57,2.01,1.95
861,2,38,48,2.31,1.35
862,2,59,56,4.08,4.0
863,2,49,44,2.52,1.72
864,1,47,54,2.13,0.7
865,2,52,45,3.86,3.71
866,2,49,61,2.13,1.86
867,2,57,51,3.33,2.71
868,2,53,56,2.91,4.0
869,2,37,47,2.97,1.74
870,1,54,65,2.3,2.48
