	sex	sat_v	sat_m	sat_sum	hs_gpa	fy_gpa
56	1	51	61	112	2.98	2.48
57	1	40	63	104	2.98	2.31
58	2	52	53	106	3.21	2.74
59	2	41	60	101	4.18	2.37
60	2	56	63	119	3.44	2.82
61	2	47	44	92	3.17	3.12
62	2	54	53	107	3.13	2.67
63	2	46	57	103	3.08	2.5
64	2	64	61	124	3.61	2.31
65	2	55	50	106	3.28	2.04
66	2	55	46	98	2.35	1.9
67	1	47	52	98	2.29	2.54
68	2	50	60	110	3.91	2.87
69	1	50	56	104	4.0	2.66
70	2	55	54	110	4.45	4.0
71	2	46	56	102	3.97	3.58
72	2	49	56	103	2.64	2.37
73	2	59	47	105	2.69	2.75
74	1	37	50	88	3.4	1.13
75	1	54	61	114	2.67	2.78
76	2	45	53	100	3.13	2.63
77	1	59	67	126	2.36	1.73
78	1	49	59	107	3.3	2.34
79	1	58	65	126	2.65	2.11
80	2	45	58	101	3.07	1.3
81	1	42	58	99	3.04	2.07
82	2	63	56	118	3.74	3.05
83	1	55	63	116	3.15	1.63
84	1	42	47	90	3.64	1.99
85	1	52	62	115	4.18	2.74
86	1	64	58	123	3.63	3.07
87	2	35	50	86	3.36	2.89
88	1	41	54	96	3.05	1.93
89	1	52	47	101	2.67	2.11
90	1	59	64	124	2.97	2.86
91	2	52	63	116	2.59	1.47
92	1	51	73	124	4.07	2.85
93	2	45	52	96	3.27	3.37
94	2	52	55	108	2.91	1.84
95	2	54	62	116	3.64	3.14
96	2	49	53	104	2.36	0.93
97	2	46	58	104	3.78	2.86
98	1	58	61	121	3.53	3.79
99	1	48	59	107	2.61	1.86
100	2	29	39	67	3.28	2.36
101	2	61	54	114	3.27	3.07
102	2	60	55	114	3.36	3.82
103	1	40	49	90	3.27	0.82
104	1	53	51	101	2.48	1.4
105	1	52	54	109	4.48	3.57
106	1	57	62	119	2.37	1.56
107	2	41	61	103	3.25	2.28
108	1	54	71	127	3.28	2.42
109	2	59	47	107	4.27	3.05
110	2	49	58	104	3.34	3.26
111	1	57	67	124	3.81	2.12
112	2	35	50	83	2.86	1.66
113	2	39	40	77	3.0	3.1
114	1	57	44	99	3.53	2.39
115	2	39	51	93	2.83	2.74
116	2	52	54	105	3.55	2.48
117	2	49	54	103	2.75	2.39
118	1	56	55	115	3.33	3.27
119	1	43	57	100	2.4	1.61
120	2	55	51	105	3.23	2.21
121	1	46	66	111	3.76	2.61
122	1	63	47	110	3.27	1.95
123	2	66	61	127	3.36	3.03
124	2	57	56	111	2.09	2.17
125	2	63	64	126	3.98	3.61
126	1	44	58	101	1.84	1.27
127	2	61	66	124	4.47	3.86
128	1	53	76	131	3.32	2.99
129	1	40	67	106	3.36	2.78
130	2	46	54	100	4.34	2.99
131	2	43	65	107	4.26	3.36
132	2	51	53	104	3.91	1.93
133	2	40	63	103	3.78	3.0
134	2	45	54	98	3.78	2.56
135	1	53	58	110	3.41	2.59
136	2	52	65	118	4.1	3.6
137	2	48	40	91	2.49	1.84
138	2	40	46	87	3.18	2.52
139	2	40	56	94	2.74	1.82
140	1	43	56	99	3.56	2.91
141	2	76	72	144	3.66	3.44
142	1	55	71	126	3.77	3.65
143	1	57	70	125	3.71	1.1
144	2	56	56	114	3.78	3.0
145	1	47	53	101	3.07	3.27
146	2	46	44	92	3.59	2.86
147	2	50	50	99	3.22	3.04
148	1	51	72	123	3.15	3.23
149	2	41	48	89	2.59	2.3
150	1	50	55	104	2.73	1.02
151	2	35	40	73	2.54	2.3
152	1	35	57	91	3.43	3.7
153	2	40	61	99	4.02	3.43
154	2	48	52	97	4.16	3.34
155	1	49	63	113	3.14	3.49
156	2	47	55	100	3.43	2.2
157	1	44	38	84	2.66	1.68
158	2	48	67	117	3.89	2.97
159	1	58	57	116	2.79	3.03
160	1	50	59	108	2.46	1.94
161	1	40	49	91	2.57	0.71
162	2	53	59	113	3.72	2.89
163	2	44	49	94	3.88	2.75
164	1	45	51	96	3.15	2.31
165	1	41	71	113	3.46	2.69
166	1	57	60	117	3.14	3.12
167	1	43	54	99	2.44	0.53
168	2	54	48	104	3.62	2.56
169	2	56	69	125	3.95	2.96
170	2	56	63	120	3.76	2.16
171	1	53	57	110	3.27	2.45
172	1	51	46	97	3.29	3.21
173	1	41	52	92	2.34	1.25
174	1	62	56	118	3.06	2.22
175	1	50	74	125	4.15	2.98
176	1	42	44	86	2.73	2.0
177	2	53	46	101	2.9	2.74
178	2	52	52	102	2.88	1.95
179	2	56	67	121	3.77	3.15
180	2	43	41	83	2.85	2.79
181	2	54	74	127	2.79	2.09
182	2	64	57	124	3.86	3.0
183	2	39	36	76	2.08	0.97
184	1	45	54	100	3.18	1.61
185	1	50	70	120	3.15	3.89
186	1	38	51	89	2.81	1.0
187	2	64	68	130	3.59	2.72
188	1	47	59	104	3.53	2.4
189	1	50	50	102	3.63	2.93
190	2	43	50	93	3.14	1.79
191	1	46	61	111	3.45	3.73
192	2	56	66	123	4.24	3.25
193	1	48	54	102	2.64	1.38
194	1	53	66	121	3.89	2.83
195	1	31	49	76	2.92	1.21
196	2	49	40	89	3.14	2.53
197	2	45	49	97	4.27	3.96
198	2	47	41	91	3.51	2.48
199	2	50	47	97	3.34	2.56
200	2	47	42	92	3.78	3.43
201	1	55	47	104	3.69	2.66
202	2	40	37	79	3.2	2.35
203	1	56	56	110	3.48	2.29
204	2	37	44	83	3.15	1.53
205	2	53	55	108	4.15	2.46
206	1	56	54	112	2.65	2.41
207	2	50	54	103	3.12	2.65
208	1	43	51	96	3.28	2.44
209	1	57	59	115	3.47	3.61
210	2	39	41	80	2.17	2.15
211	2	53	68	120	3.66	3.25
212	1	54	58	113	3.09	1.26
213	2	54	54	109	2.43	1.66
214	1	36	49	87	2.85	1.2
215	1	39	55	93	2.63	2.6
216	1	52	70	123	3.55	2.82
217	1	53	65	118	3.33	2.96
218	1	54	55	110	3.24	1.78
219	2	45	47	91	3.8	1.55
220	2	54	37	91	2.98	2.23
221	2	53	53	105	3.95	3.45
222	1	46	63	108	2.62	2.6
223	2	56	46	104	3.84	2.32
224	1	38	49	87	2.03	1.24
225	1	42	36	79	2.32	1.01
226	2	42	50	91	3.18	1.56
227	2	49	48	97	2.82	2.12
228	2	56	67	124	3.61	3.03
229	1	46	49	97	2.73	1.58
230	1	48	50	97	3.11	2.57
231	1	43	60	105	2.64	1.3
232	2	46	45	92	3.23	3.12
233	1	46	58	102	3.34	2.64
234	1	56	59	115	4.12	3.63
235	1	54	69	125	3.73	3.08
236	1	52	51	102	2.25	2.22
237	2	38	38	76	2.71	1.0
238	2	44	46	91	3.06	1.68
239	1	44	51	94	2.96	2.01
240	1	51	66	116	3.77	3.33
241	2	47	55	100	4.19	1.96
242	2	50	57	107	3.65	2.34
243	1	64	60	123	2.64	2.54
244	1	59	58	117	3.12	2.51
245	2	49	48	100	2.6	1.66
246	1	43	63	104	3.07	2.81
247	1	42	53	95	2.77	2.45
248	2	48	55	103	4.35	3.64
249	2	30	47	75	3.63	2.66
250	2	52	45	97	3.25	2.52
251	2	40	44	86	3.56	1.37
252	2	51	61	113	3.55	3.42
253	1	65	69	133	3.7	3.78
254	1	44	69	113	2.77	2.27
255	2	36	46	81	3.25	2.8
256	1	49	68	116	2.79	2.61
257	1	48	56	103	3.35	2.53
258	2	50	64	114	2.83	1.54
259	1	47	55	102	3.33	3.3
260	2	58	60	118	4.24	2.91
261	2	58	65	122	3.73	3.48
262	1	37	40	77	1.99	0.84
263	1	49	69	118	3.51	1.93
264	2	51	61	111	3.23	2.65
265	2	43	58	101	3.06	2.94
266	1	61	60	119	4.35	3.84
267	2	56	49	107	2.61	3.11
268	2	56	48	102	3.66	3.56
269	2	49	43	94	4.1	0.84
270	2	49	56	104	3.43	2.6
271	1	54	55	108	4.42	3.72
272	1	47	48	97	3.81	2.04
273	2	35	38	71	3.87	2.56
274	2	60	70	131	3.21	3.65
275	2	53	55	108	2.62	2.18
276	1	44	50	93	3.11	3.31
277	1	47	54	98	2.98	2.55
278	1	52	61	114	3.06	2.35
279	1	60	54	115	3.44	2.66
280	2	37	37	75	3.47	2.13
281	1	57	69	126	3.08	2.45
282	1	61	62	122	3.06	2.88
283	2	47	52	98	3.28	2.0
284	2	50	53	102	2.87	1.37
285	1	51	67	116	3.32	2.72
286	2	54	43	99	2.39	2.08
287	1	51	51	100	3.22	3.22
288	2	47	61	107	3.15	3.15
289	1	48	57	106	2.65	2.65
290	1	24	39	61	2.03	0.15
291	2	47	56	105	3.0	1.62
292	1	49	64	114	3.2	2.35
293	1	53	51	105	2.84	1.75
294	1	38	55	92	2.89	2.6
295	1	47	55	103	2.77	2.57
296	2	56	56	111	3.47	3.08
297	2	52	54	108	3.41	2.78
298	2	47	52	96	3.71	3.46
299	1	41	57	98	3.49	2.99
300	2	58	63	119	4.13	2.07
301	1	48	53	101	3.48	3.15
302	2	45	59	103	3.51	1.85
303	2	48	58	106	3.7	3.42
304	1	51	56	106	3.23	0.81
305	1	46	41	88	3.17	1.93
306	1	59	61	119	2.65	1.95
307	1	52	41	93	2.52	3.26
308	1	58	59	117	2.62	2.86
309	2	53	57	110	3.92	2.57
310	1	58	60	115	3.19	2.56
311	1	45	58	103	3.21	1.65
312	1	46	52	99	2.69	2.19
313	2	51	59	111	3.49	1.96
314	1	34	53	88	3.76	3.34
315	2	53	48	101	3.29	1.79
316	1	31	45	74	1.9	1.36
317	1	38	62	100	2.63	1.76
318	2	53	57	112	3.26	1.85
319	2	63	56	121	3.47	2.9
320	1	49	52	105	2.88	2.48
321	1	55	67	121	3.98	3.83
322	2	46	56	103	3.7	2.02
323	1	39	35	74	2.18	2.5
324	1	49	48	99	3.01	3.2
325	1	56	54	108	2.53	1.41
326	2	60	61	121	2.36	2.84
327	2	37	48	85	3.21	1.77
328	1	40	44	83	3.41	2.63
329	1	61	55	116	3.82	2.88
330	1	36	48	83	2.98	1.26
331	2	47	47	91	3.13	3.43
332	2	54	52	107	3.54	3.17
333	2	47	52	99	2.48	2.73
334	1	54	61	113	3.71	2.43
335	2	53	48	100	3.38	2.27
336	2	45	39	85	3.71	2.96
337	2	46	59	104	2.67	2.66
338	1	41	44	87	2.5	1.86
339	2	54	74	129	4.15	2.84
340	1	52	74	129	3.65	3.15
341	1	46	56	104	3.26	1.81
342	1	51	56	112	3.42	3.66
343	2	59	54	112	3.61	2.52
344	1	45	55	98	2.32	2.91
345	2	46	42	90	2.86	2.21
346	1	40	76	118	3.54	3.32
347	1	42	52	96	2.66	2.1
348	1	48	66	113	3.56	1.84
349	2	43	45	88	2.69	3.29
350	2	42	49	90	2.41	2.31
351	1	41	51	92	2.83	1.31
352	2	55	59	116	3.51	2.3
353	1	43	40	86	2.68	1.62
354	2	39	51	92	3.06	1.72
355	2	57	64	120	3.73	2.38
356	1	49	49	100	2.47	2.37
357	1	48	61	109	4.21	2.61
358	1	38	53	89	2.31	1.25
359	1	49	52	103	3.39	3.41
360	2	56	52	109	3.27	1.24
361	2	51	37	89	2.36	2.03
362	1	44	48	92	3.68	3.12
363	2	48	52	102	3.19	1.98
364	2	42	56	99	3.43	3.31
365	1	59	58	116	2.87	2.56
366	1	36	49	84	2.16	1.64
367	2	52	62	115	3.17	2.56
368	1	46	56	101	2.77	1.87
369	1	47	60	107	2.64	2.01
370	1	45	47	92	2.51	2.46
371	2	48	54	103	2.72	2.87
372	2	45	51	95	3.4	1.73
373	2	45	54	99	3.62	2.83
374	2	64	69	133	4.19	3.56
375	2	48	56	104	2.95	2.2
376	1	32	41	73	2.57	1.45
377	1	56	64	118	2.95	2.82
378	2	45	54	99	3.78	3.3
379	1	46	55	100	2.54	1.6
380	2	58	59	116	3.89	2.27
381	2	61	65	128	4.28	3.91
382	2	52	52	102	4.36	3.95
383	2	52	45	97	2.32	1.71
384	1	49	51	98	2.71	1.84
385	2	44	51	100	3.52	3.47
386	1	58	64	122	3.69	3.24
387	2	46	61	109	3.96	2.97
388	1	27	42	68	2.11	1.77
389	1	51	43	93	3.49	2.02
390	2	44	55	98	3.4	2.72
391	1	38	53	91	3.09	1.78
392	1	53	60	113	2.48	2.1
393	1	45	50	94	2.86	1.62
394	1	49	46	97	3.37	2.28
395	1	45	50	96	2.65	0.95
396	2	36	51	87	2.92	2.25
397	2	39	46	85	3.34	1.75
398	2	43	56	98	2.59	1.91
399	1	33	47	79	2.62	2.13
400	2	52	48	101	2.96	1.65
401	2	35	59	94	2.79	2.52
402	1	53	54	108	3.29	2.76
403	1	65	56	120	3.53	3.45
404	2	48	57	107	4.14	3.47
405	1	52	49	101	3.25	1.73
406	2	56	72	129	4.24	3.67
407	2	34	52	84	3.54	1.92
408	1	53	63	117	2.97	2.35
409	1	35	50	86	2.99	2.92
410	2	57	42	99	2.64	1.9
411	1	48	48	98	2.95	3.32
412	1	48	54	102	3.14	2.86
413	2	42	49	89	2.4	1.97
414	2	48	51	98	2.93	0.92
415	1	60	57	119	3.19	2.71
416	1	33	48	81	3.52	1.37
417	1	63	68	134	3.32	3.13
418	2	33	50	83	2.3	2.45
419	2	52	74	128	3.87	3.5
420	1	45	50	96	3.04	2.36
421	2	69	54	121	3.77	2.31
422	1	60	39	99	3.03	0.91
423	1	57	46	103	2.13	1.37
424	2	40	57	96	3.93	2.69
425	1	40	60	97	2.7	2.85
426	1	71	66	134	4.1	3.16
427	2	56	56	112	3.62	3.12
428	2	47	54	101	3.17	3.25
429	1	49	44	94	3.38	2.32
430	2	47	57	104	3.61	3.67
431	2	59	52	110	3.61	2.63
432	2	54	61	113	3.08	1.37
433	2	53	49	100	3.79	3.91
434	1	57	59	118	3.33	2.41
435	1	45	47	93	3.08	2.81
436	1	44	65	111	3.68	2.52
437	2	45	47	91	3.53	2.13
438	1	49	68	118	4.35	2.26
439	1	54	59	113	3.31	2.97
440	1	50	56	107	2.48	1.89
441	2	51	53	104	3.49	3.3
442	2	41	57	98	2.0	0.95
443	1	42	61	104	3.63	3.15
444	1	58	64	122	4.35	3.43
445	1	63	64	128	3.96	3.97
446	1	72	68	138	4.06	1.71
447	2	39	40	80	3.43	3.51
448	2	42	52	95	4.18	2.22
449	2	44	40	85	3.29	3.8
450	2	53	69	123	3.99	3.18
451	2	47	50	94	3.3	2.79
452	2	58	62	118	3.98	3.43
453	2	55	54	107	3.82	2.45
454	1	61	64	125	2.97	1.76
455	2	52	62	114	3.31	3.41
456	1	35	38	72	2.13	0.51
457	1	43	50	92	2.74	1.61
458	1	47	58	105	3.06	1.86
459	1	40	49	89	2.96	2.54
460	2	46	54	98	3.78	3.19
461	2	51	46	98	2.48	1.11
462	1	50	54	106	2.95	1.76
463	2	43	47	92	3.43	3.74
464	2	40	50	91	3.87	2.87
465	2	42	47	89	3.25	3.54
466	2	51	62	111	3.18	2.01
467	2	55	54	105	3.32	1.67
468	1	59	72	135	3.28	2.11
469	2	59	40	97	2.51	2.56
470	2	59	52	110	3.52	1.5
471	2	62	64	125	2.79	2.14
472	1	43	63	108	3.92	2.97
473	2	42	54	96	2.57	2.16
474	2	49	57	107	3.2	2.78
475	1	49	44	96	3.41	2.37
476	1	52	53	104	1.98	1.78
477	1	55	49	104	3.29	2.26
478	1	46	47	95	2.74	2.22
479	1	49	56	107	2.9	3.48
480	2	52	54	109	3.62	2.83
481	2	45	46	91	2.93	2.09
482	2	53	53	109	3.38	1.66
483	1	51	63	116	3.26	3.73
484	2	46	58	105	2.88	3.71
485	2	39	54	90	3.07	2.58
486	2	43	53	96	3.4	3.39
487	1	37	47	83	2.69	1.58
488	1	57	60	116	3.27	3.21
489	1	34	57	86	3.36	2.15
490	1	46	58	104	2.12	1.08
491	2	57	57	113	2.77	2.66
492	1	38	39	77	2.28	1.14
493	2	39	62	100	3.69	3.34
494	2	38	54	92	3.11	1.6
495	1	49	47	95	2.92	1.1
496	2	34	52	85	3.68	2.59
497	1	43	54	98	2.78	1.3
498	1	45	60	104	2.91	2.3
499	1	44	55	98	2.46	2.17
500	1	54	52	105	3.79	3.05
501	2	43	49	92	2.29	2.14
502	1	58	49	106	2.14	2.14
503	1	32	44	75	2.64	0.94
504	1	49	52	101	3.4	2.26
505	2	55	67	122	4.15	2.91
506	1	45	55	99	4.05	2.25
507	2	33	39	72	2.62	2.85
508	1	54	66	122	3.7	3.15
509	2	51	55	107	2.7	3.54
510	2	32	34	65	3.28	2.39
511	2	51	54	107	2.74	2.41
512	1	43	62	104	2.45	1.61
513	2	55	59	113	3.06	2.02
514	1	51	61	109	4.45	3.67
515	2	49	50	98	3.09	2.86
516	2	50	54	104	3.87	1.43
517	2	42	57	100	2.86	2.86
518	2	59	70	127	4.38	3.71
519	2	33	44	75	2.36	2.57
520	1	51	55	107	2.97	2.31
521	1	64	66	133	4.13	3.11
522	1	55	47	103	3.66	3.05
523	1	47	36	87	2.74	2.4
524	1	48	60	108	3.27	1.67
525	1	47	63	110	3.01	1.95
526	2	59	56	114	4.02	2.77
527	2	37	36	75	2.22	1.04
528	1	60	67	129	2.83	2.77
529	1	52	51	102	3.36	1.7
530	1	58	65	123	3.68	3.37
531	1	53	75	129	4.02	2.75
532	2	37	42	79	3.5	3.08
533	2	52	62	115	3.94	3.77
534	1	59	65	126	2.27	1.78
535	1	46	51	97	2.54	2.05
536	2	42	49	90	3.17	2.45
537	1	55	47	103	3.64	3.23
538	1	47	65	112	2.47	1.33
539	1	51	72	125	2.65	2.22
540	2	43	35	81	2.3	1.61
541	2	54	47	101	3.96	2.37
542	2	52	71	122	3.8	3.39
543	2	54	50	104	3.47	3.01
544	1	51	63	113	3.2	3.43
545	1	63	73	136	3.55	2.76
546	2	30	50	79	3.29	2.64
547	2	49	38	87	3.19	1.84
548	1	48	64	112	3.54	2.86
549	2	61	49	109	3.58	1.3
550	2	47	42	89	2.79	2.94
551	2	52	62	115	3.08	2.76
552	2	49	56	106	2.82	3.47
553	1	48	48	96	2.41	1.55
554	1	55	62	117	2.78	2.69
555	1	35	58	93	3.1	3.34
556	1	52	55	107	2.95	0.95
557	2	55	53	109	3.74	3.55
558	2	54	43	99	3.5	1.97
559	2	49	55	104	3.72	1.99
560	1	48	65	114	3.56	2.58
561	1	40	50	90	3.15	2.66
562	1	56	56	113	3.2	3.21
563	2	37	48	84	3.15	1.89
564	2	36	36	72	3.64	1.81
565	1	65	65	128	3.52	2.71
566	2	52	63	116	3.44	2.04
567	2	56	47	103	3.31	2.83
568	1	53	67	122	3.71	2.39
569	1	44	48	91	2.72	1.72
570	2	54	51	104	3.84	3.67
571	2	45	48	93	3.69	2.46
572	1	54	49	105	3.42	2.41
573	1	48	61	111	2.99	2.16
574	1	50	61	111	2.74	2.62
575	2	40	47	86	3.78	2.19
576	1	47	56	106	3.1	1.95
577	2	45	50	92	3.45	2.71
578	2	44	59	103	3.34	2.26
579	1	53	65	117	2.63	1.25
580	1	53	58	111	2.94	1.99
581	2	49	58	107	3.22	3.23
582	2	51	46	100	3.59	2.58
583	2	35	42	81	3.05	0.87
584	2	53	42	97	3.24	3.06
585	2	62	58	124	3.58	3.0
586	2	37	38	76	2.78	1.88
587	1	62	62	122	3.28	3.41
588	2	46	41	88	2.78	2.29
589	1	49	65	114	2.73	1.17
590	2	43	46	90	2.69	2.55
591	2	68	67	132	2.86	2.49
592	1	51	69	120	2.87	2.93
593	2	53	54	108	3.59	2.9
594	2	47	56	104	2.93	3.49
595	2	47	50	98	3.16	1.44
596	2	41	44	84	2.72	2.57
597	1	50	40	90	1.92	1.5
598	2	57	77	140	3.73	4.0
599	1	45	51	96	2.54	1.31
600	2	31	52	83	3.33	2.0
601	2	47	36	84	3.12	2.62
602	2	33	47	79	1.88	1.18
603	1	43	43	86	2.85	2.07
604	2	48	37	85	3.53	1.23
605	2	60	51	109	3.9	2.46
606	2	48	47	94	2.63	2.35
607	1	39	54	93	2.75	2.18
608	1	41	62	99	3.79	2.75
609	2	58	64	121	4.33	3.89
610	1	39	53	91	2.45	1.64
611	2	38	46	84	2.19	1.66
612	2	39	47	88	3.18	2.49
613	1	60	60	118	4.49	3.79
614	2	49	45	95	3.24	2.02
615	2	54	47	103	3.4	3.81
616	2	56	58	114	3.99	3.66
617	1	43	42	86	2.77	2.07
618	2	46	56	101	3.34	3.19
619	2	41	43	84	3.02	2.52
620	1	42	58	100	3.39	3.49
621	2	56	62	120	3.77	2.97
622	2	46	47	93	2.87	2.13
623	2	44	39	84	2.57	1.35
624	2	59	59	118	3.57	3.04
625	1	46	58	103	2.23	1.65
626	1	52	56	110	4.2	2.09
627	1	48	42	88	2.61	2.26
628	2	43	56	98	4.03	3.0
629	2	49	44	95	3.67	2.23
630	1	48	65	112	2.54	2.72
631	2	53	47	98	3.63	2.42
632	1	55	68	121	2.4	1.36
633	1	50	56	107	2.43	2.22
634	2	61	60	119	4.26	3.37
635	2	42	64	105	2.94	2.12
636	1	63	61	125	2.66	3.97
637	2	42	52	95	2.91	1.82
638	2	48	57	103	4.01	3.16
639	1	51	62	113	3.02	1.09
640	1	49	50	99	3.52	3.12
641	1	46	42	91	2.14	0.26
642	1	51	70	121	3.78	2.31
643	1	44	56	100	3.39	2.49
644	1	62	71	134	3.77	3.82
645	1	52	54	109	2.86	2.91
646	2	46	51	98	3.25	1.61
647	1	62	68	126	3.5	3.1
648	1	49	52	104	3.3	2.04
649	2	50	64	115	4.24	3.17
650	2	40	40	80	2.99	1.35
651	1	37	39	76	3.46	1.9
652	1	62	52	115	3.8	3.49
653	2	54	48	105	2.91	2.31
654	2	36	50	88	3.02	2.12
655	1	45	53	99	3.44	2.83
656	1	59	60	119	2.64	1.52
657	2	54	53	107	3.75	3.0
658	1	46	55	98	3.33	3.46
659	1	28	50	75	3.58	2.51
660	1	37	46	84	2.57	1.86
661	2	55	48	105	2.96	2.42
662	1	48	53	100	2.99	1.66
663	2	62	59	118	4.2	2.44
664	2	49	49	99	3.98	2.2
665	1	50	57	108	3.3	2.12
666	1	44	63	107	3.53	3.39
667	2	46	58	101	3.03	3.01
668	1	34	57	90	2.96	2.1
669	1	43	48	94	3.6	2.48
670	1	49	66	114	3.74	2.69
671	2	43	53	96	4.29	1.85
672	2	52	61	110	3.48	3.69
673	1	58	72	133	3.44	2.16
674	2	42	54	97	4.15	2.91
675	2	39	54	93	2.19	2.19
676	1	40	47	87	2.34	1.85
677	2	49	63	113	3.33	3.66
678	1	66	64	132	3.38	3.09
679	1	40	56	95	3.55	1.68
680	1	38	41	80	2.52	1.09
681	2	38	64	102	3.47	3.02
682	1	72	66	138	3.17	2.64
683	2	35	62	96	2.96	1.74
684	2	49	56	109	2.96	3.47
685	2	50	50	99	3.9	3.08
686	2	55	60	116	4.14	1.93
687	1	44	51	95	2.39	1.61
688	1	48	59	107	3.16	3.19
689	1	41	56	98	3.15	1.33
690	2	41	55	96	3.08	2.6
691	2	46	49	96	3.39	2.25
692	1	57	44	101	3.67	1.62
693	2	50	48	98	3.03	3.11
694	1	62	65	127	3.89	2.59
695	1	58	68	127	3.66	2.76
696	2	52	49	101	3.52	2.55
697	1	55	59	114	2.63	1.19
698	1	36	43	79	2.64	1.58
699	1	54	72	126	4.19	3.82
700	2	52	60	112	3.17	2.76
701	1	55	60	117	3.36	2.85
702	1	50	48	99	3.94	3.45
703	2	39	47	85	2.8	2.22
704	1	30	30	57	2.07	1.1
705	2	54	52	106	2.91	3.0
706	2	42	47	91	3.26	3.1
707	2	48	55	102	2.51	2.22
708	1	44	52	98	2.56	3.06
709	1	55	65	120	3.58	2.91
710	2	48	43	94	3.49	2.2
711	1	45	47	94	3.39	1.19
712	2	43	55	98	3.12	1.61
713	2	42	46	88	2.6	1.99
714	1	33	56	90	3.19	2.56
715	2	46	36	82	3.49	3.06
716	1	47	49	99	3.28	2.3
717	1	53	57	111	3.78	2.37
718	1	59	56	116	3.32	1.97
719	1	60	61	119	3.95	2.74
720	2	52	46	98	3.73	2.97
721	1	45	39	84	3.0	2.7
722	2	54	51	107	3.15	3.14
723	2	44	58	102	3.15	1.67
724	1	36	48	83	2.31	2.99
725	1	54	47	101	3.52	2.15
726	2	53	62	113	3.42	3.34
727	2	54	59	113	3.78	3.3
728	2	50	49	98	3.89	2.14
729	2	50	62	113	3.43	2.29
730	1	53	60	114	3.79	3.2
731	2	32	46	79	3.09	1.56
732	2	55	45	98	2.3	2.72
733	1	46	55	100	3.44	1.92
734	1	34	38	71	3.37	1.33
735	2	53	65	118	3.86	3.6
736	2	43	49	91	3.98	3.48
737	2	55	50	106	3.4	3.07
738	2	58	60	117	3.79	3.08
739	2	53	59	115	3.46	2.1
740	2	47	55	102	3.4	1.83
741	2	36	36	73	2.37	2.03
742	1	34	48	83	2.59	2.99
743	2	47	57	106	2.82	1.67
744	1	54	47	103	3.2	2.26
745	1	54	50	104	2.23	1.94
746	2	45	47	91	2.51	2.56
747	2	40	46	88	3.15	0.91
748	1	47	49	95	3.88	2.33
749	2	56	57	112	4.2	3.81
750	1	56	58	117	3.21	2.62
751	1	37	42	77	3.11	1.81
752	2	50	55	105	2.87	1.81
753	1	45	56	101	2.93	2.6
754	1	49	49	99	3.17	1.64
755	2	55	58	109	3.04	2.64
756	1	58	64	119	2.82	2.78
757	2	53	57	110	3.21	3.0
758	2	69	62	131	3.02	2.81
759	2	47	42	90	3.67	2.29
760	1	46	48	96	2.83	2.62
761	2	53	51	103	2.42	1.01
762	2	43	50	89	3.52	3.27
763	2	51	56	108	2.8	1.56
764	2	37	54	89	3.59	2.86
765	2	42	44	88	2.35	1.7
766	2	49	50	101	2.99	2.03
767	1	39	51	91	2.64	3.03
768	1	55	62	119	3.89	3.93
769	2	50	62	111	3.22	2.96
770	1	56	70	126	4.31	2.73
771	2	47	48	91	3.98	3.06
772	1	43	54	97	2.32	2.41
773	1	49	56	105	3.36	3.42
