"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"1",42,58,3.7,2.71,"43-49"
"1",49,61,3.75,2.85,"49-76"
"2",42,52,2.5,2.37,"49-76"
"1",59,67,4,3.4,"43-49"
"2",38,44,2.5,2.34,"43-49"
"1",42,41,2.7,1.74,"49-76"
"1",55,67,3,1.36,"49-76"
"1",54,57,3.3,2.47,"49-76"
"2",42,52,2.5,1.77,"49-76"
"2",53,49,3,1.7,"43-49"
"1",43,56,3.8,2.98,"49-76"
"2",43,45,3.7,3.21,"49-76"
"2",38,38,3.8,3.07,"49-76"
"1",54,56,3.8,2.37,"43-49"
"1",46,50,2.6,1.37,"24-43"
"2",42,46,2.3,3.17,"49-76"
"2",47,43,2.5,2.86,"43-49"
"1",49,57,3.7,3.02,"49-76"
"2",40,50,2.5,1.71,"49-76"
"1",64,64,3.2,1.79,"24-43"
"1",59,48,3.1,2.47,"24-43"
"2",51,53,3.7,3.45,"24-43"
"1",41,60,2.6,1.84,"43-49"
"2",45,45,2.7,1.8,"49-76"
"1",41,47,2.6,1.66,"49-76"
"2",41,37,3,2.56,"24-43"
"1",47,59,3.4,2.37,"43-49"
"1",49,54,3.2,2.16,"49-76"
"2",53,60,2.9,3.1,"43-49"
"1",56,58,3.5,2.81,"49-76"
"1",45,50,3.3,2.59,"24-43"
"2",39,41,2,1.56,"24-43"
"1",44,59,4,2.91,"49-76"
"2",54,59,3.1,2.31,"24-43"
"1",67,54,4,2.96,"24-43"
"2",60,53,2.25,1.5,"49-76"
"1",45,71,3.75,2.85,"43-49"
"1",56,67,3.5,3.02,"43-49"
"1",52,52,2.8,1.91,"24-43"
"2",57,54,2.9,3.23,"43-49"
"1",48,58,4,3.27,"43-49"
"1",43,62,3,1.83,"49-76"
"2",62,64,4,3.35,"24-43"
"2",52,49,3.2,2.77,"24-43"
"2",36,45,2.9,2,"49-76"
"2",63,71,4,3.94,"49-76"
"1",56,60,2.9,2.36,"49-76"
"1",45,61,4,3.8,"49-76"
"2",45,48,2.8,2.8,"43-49"
"1",48,61,2.3,2.08,"49-76"
"1",41,52,2.5,1.47,"43-49"
"2",47,50,3.5,2.46,"43-49"
"2",50,53,2.7,2.42,"49-76"
"2",44,43,3.7,2.37,"49-76"
"1",52,54,2.75,3.11,"49-76"
"1",43,53,3.2,3.21,"43-49"
"2",47,53,3.75,1.98,"24-43"
"2",47,50,3,2,"43-49"
"2",46,51,2.75,1.5,"49-76"
"1",55,57,3.7,2.93,"49-76"
"1",57,64,2.9,2.8,"49-76"
"2",43,52,3,0,"49-76"
"2",34,50,3.3,2,"49-76"
"1",44,55,4,2.49,"49-76"
"1",44,55,3.8,3.35,"24-43"
"1",46,63,3.75,2.51,"24-43"
"1",46,62,3.5,3.06,"43-49"
"1",56,59,3.75,3.1,"49-76"
"2",32,41,3.25,2.34,"49-76"
"1",47,54,3.75,2,"49-76"
"1",53,68,2,2.28,"43-49"
"1",50,62,2.7,3.4,"49-76"
"1",42,60,3.2,2.4,"43-49"
"2",43,42,3,2.36,"49-76"
"1",61,67,4,3.82,"24-43"
"1",50,54,2.6,2.86,"43-49"
"2",62,53,3.3,2.95,"43-49"
"2",67,59,4,3.82,"49-76"
"2",39,55,2.7,1.95,"49-76"
"2",51,43,2.9,1.91,"24-43"
"1",49,57,4,2.68,"24-43"
"2",45,50,3,1.45,"49-76"
"2",47,52,3.7,2.81,"43-49"
"2",64,51,3.4,3.24,"24-43"
"1",50,65,3,2.34,"24-43"
"2",43,53,3.3,3.24,"24-43"
"1",56,54,3.5,2.69,"49-76"
"1",37,43,2,0,"43-49"
"1",39,54,3.6,2,"43-49"
"2",56,64,3.7,2.69,"43-49"
"2",44,64,4,3.47,"49-76"
"1",43,42,4,2.2,"24-43"
"2",62,68,4,4,"24-43"
"1",52,65,3,2.17,"24-43"
"1",40,40,3,1.72,"43-49"
"1",44,55,3.75,1.62,"24-43"
"1",65,64,3.8,2.19,"49-76"
"1",45,52,2.5,1.78,"24-43"
"2",38,52,3.75,2.58,"49-76"
"2",36,45,2.6,1.94,"24-43"
"2",60,55,3,2.44,"24-43"
"2",42,50,3.5,3.12,"24-43"
"1",67,72,4,4,"49-76"
"1",35,70,3,2.97,"49-76"
"1",47,66,2.75,2.96,"24-43"
"1",58,61,3,2.71,"43-49"
"1",47,55,2.1,1.95,"24-43"
"2",59,57,3.8,2,"43-49"
"1",57,63,3.7,2.37,"49-76"
"2",42,60,3.25,1.4,"43-49"
"1",47,51,2.56,2.31,"24-43"
"1",62,64,3.75,3.74,"49-76"
"1",62,61,2.7,2.66,"49-76"
"1",57,68,4,3.17,"49-76"
"1",59,59,3.75,2.86,"24-43"
"1",37,53,3.3,1.73,"49-76"
"2",47,53,2.3,2.69,"43-49"
"1",50,66,4,3.51,"49-76"
"2",37,49,2.8,2.37,"43-49"
"1",40,53,2.4,2.59,"49-76"
"2",60,58,3.7,4,"49-76"
"2",51,46,3.5,2.46,"43-49"
"2",50,57,3.4,3.35,"49-76"
"2",49,55,3.3,3.48,"24-43"
"1",64,40,3,2.33,"43-49"
"1",47,68,4,2.38,"49-76"
"2",59,45,4,3.67,"43-49"
"2",40,58,3.5,2.02,"24-43"
"1",58,52,3,1.8,"24-43"
"2",38,43,3.7,2.63,"49-76"
"2",60,56,3.2,1.78,"49-76"
"2",29,47,2.1,1.64,"43-49"
"2",32,43,2.75,2.04,"24-43"
"2",58,55,3.5,3.3,"43-49"
"1",36,32,2.25,1.73,"43-49"
"1",49,55,2.7,1.13,"24-43"
"2",52,53,3.25,2.69,"43-49"
"1",52,54,3.25,1.87,"43-49"
"1",48,64,3.5,2.66,"43-49"
"2",51,45,4,2.65,"24-43"
"2",62,57,4,3.59,"43-49"
"2",50,57,3.1,2.96,"24-43"
"1",40,65,2,2.06,"49-76"
"2",51,48,2.8,2.35,"43-49"
"2",54,51,4,2.38,"43-49"
"1",54,61,2.5,1.84,"49-76"
"1",61,55,3.67,3.82,"43-49"
"1",45,64,3.8,2.15,"24-43"
"1",46,56,3,2.18,"49-76"
"2",59,59,3.5,2.58,"24-43"
"1",63,63,3,1.7,"43-49"
"2",51,60,3.7,3.11,"24-43"
"2",44,47,2.8,1.61,"43-49"
"2",41,46,2.5,2.36,"49-76"
"1",39,57,3.75,3,"49-76"
"2",45,59,4,2.23,"43-49"
"1",53,61,2.8,1.63,"43-49"
"2",31,58,2.5,1.57,"24-43"
"2",47,59,3.8,2.61,"24-43"
"2",36,49,3.1,1.35,"49-76"
"1",56,59,3.8,3.37,"43-49"
"1",60,59,2.8,3.02,"49-76"
"1",33,42,2.2,1.63,"43-49"
"2",44,48,2.1,1.58,"43-49"
"2",42,57,3.9,2.66,"49-76"
"1",57,70,3.25,3.04,"49-76"
"2",42,54,2.8,1.49,"43-49"
"2",48,38,3.33,2.02,"24-43"
"1",43,49,3.4,1.47,"49-76"
