,sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
98,1,45,51,79,3.26,2.78
99,1,60,53,115,3.88,1.39
100,2,47,39,62,3.7,2.96
101,1,40,71,113,3.91,2.84
102,2,29,62,95,3.49,1.94
103,2,31,66,102,3.97,0.88
104,2,62,57,104,3.87,1.5
105,1,49,72,119,3.93,1.98
106,1,49,48,95,3.47,3.52
107,1,54,62,135,3.98,3.98
108,1,36,38,81,3.65,0.51
109,2,45,59,90,2.76,2.17
110,1,41,63,103,4.1,2.58
111,2,60,63,110,3.84,2.18
112,1,53,57,124,3.93,3.36
113,1,45,72,106,3.33,1.99
114,1,57,47,99,3.93,3.34
115,1,40,57,87,3.29,2.54
116,1,50,59,104,2.81,3.18
117,1,55,44,79,3.89,2.14
118,1,38,49,105,4.04,1.24
119,2,58,51,103,2.43,2.0
120,1,55,60,90,2.76,1.6
121,1,56,45,81,3.29,3.65
122,2,58,75,119,3.97,3.28
123,1,54,52,100,3.78,2.55
124,1,67,53,115,3.5,2.67
125,1,58,58,101,3.76,2.56
126,1,39,47,87,3.91,1.61
127,1,39,57,84,3.92,1.45
128,1,47,37,95,3.92,2.98
129,1,58,64,122,3.52,1.88
130,1,43,54,82,2.74,3.26
131,2,45,67,86,3.67,2.51
132,1,54,73,98,3.96,2.86
133,1,36,51,78,2.84,3.39
134,1,62,63,105,3.86,1.52
135,1,61,54,99,3.97,2.38
136,2,48,59,101,3.71,2.06
137,1,50,61,90,4.23,2.75
138,2,38,56,94,4.16,3.04
139,1,60,57,112,3.28,2.8
140,1,35,52,76,4.07,1.07
141,1,35,40,83,2.88,1.18
142,1,57,43,109,3.95,3.84
143,1,57,55,121,2.72,2.92
144,2,48,66,105,2.97,2.43
145,1,57,53,89,3.85,1.35
146,1,60,77,108,3.95,3.76
147,1,38,54,127,4.11,3.37
148,1,31,54,77,4.0,2.99
149,2,43,58,100,2.88,1.57
150,2,43,67,80,3.79,2.56
151,1,53,43,96,2.79,2.16
152,1,38,66,113,3.05,2.68
153,1,48,60,94,3.09,0.93
154,1,71,63,109,3.47,2.41
155,2,33,50,104,3.8,3.08
156,1,44,44,109,3.55,2.37
157,1,62,40,97,2.84,2.66
158,1,40,49,96,4.05,1.75
159,1,64,57,112,3.91,2.63
160,1,45,65,126,3.31,3.04
161,1,65,51,110,4.08,2.51
162,1,48,57,104,3.27,2.85
163,2,40,58,83,3.86,2.21
164,1,67,66,113,2.99,3.61
165,1,44,58,87,3.16,2.46
166,1,48,50,93,3.8,1.51
167,1,45,56,95,3.69,3.11
168,1,45,64,101,3.02,3.06
169,1,47,59,112,3.89,3.11
170,1,50,74,109,3.75,3.03
171,1,41,47,79,3.69,3.4
172,1,40,50,114,2.96,3.13
173,1,52,63,106,3.75,2.51
174,1,43,72,118,3.11,3.16
175,1,62,63,112,3.85,1.31
176,1,51,65,109,3.74,2.98
177,2,41,58,88,3.77,2.41
178,2,58,46,93,3.31,2.35
179,2,40,66,125,3.95,3.13
180,2,42,59,96,3.2,1.29
181,1,51,61,130,3.8,2.18
182,1,47,73,103,3.6,3.57
183,2,36,62,104,3.1,2.67
184,1,62,73,102,3.6,2.55
185,1,63,65,127,3.92,1.24
186,1,59,58,122,2.73,3.7
187,1,64,48,112,3.94,3.72
188,2,46,53,99,2.81,1.93
189,2,52,46,99,2.65,2.65
190,1,53,55,105,3.94,3.93
191,1,58,61,130,3.37,3.42
192,1,66,60,120,3.58,3.62
193,1,48,55,101,3.51,2.39
194,1,37,53,121,2.96,1.94
195,1,51,59,87,3.41,0.93
196,2,47,51,94,3.89,1.28
197,1,66,56,127,3.67,2.41
198,1,57,52,101,2.99,3.13
199,1,49,61,106,3.66,3.1
200,1,34,50,82,3.3,2.09
201,1,65,62,106,4.11,3.23
202,1,47,59,101,3.95,3.45
203,1,69,69,104,2.2,2.05
204,1,66,59,115,3.93,1.94
205,2,39,60,105,3.57,1.07
206,1,28,38,82,3.89,1.82
207,1,52,56,111,3.75,2.73
208,2,57,54,108,3.69,3.6
209,2,54,48,101,2.55,2.1
210,1,42,48,101,2.93,1.82
211,1,39,60,111,4.25,1.51
212,1,47,62,132,3.9,2.43
213,1,50,46,76,4.01,1.87
214,1,57,57,100,3.71,3.07
215,1,31,58,87,3.77,1.31
216,1,48,56,92,3.0,3.27
217,1,42,49,89,3.12,1.56
218,1,39,50,89,2.85,1.82
219,1,46,42,99,3.37,2.71
220,1,66,66,109,3.63,2.76
221,1,61,51,96,3.94,2.97
222,2,60,66,103,4.06,3.23
223,1,64,61,112,3.88,2.98
224,1,37,52,70,2.62,2.3
225,1,42,52,83,3.8,3.07
226,1,40,35,69,4.07,1.33
227,1,64,55,111,3.57,3.58
228,1,48,67,103,3.09,1.49
229,1,44,70,129,3.9,2.92
230,1,54,55,101,3.08,2.8
231,1,41,49,104,4.01,2.33
232,2,63,72,98,3.93,2.74
233,1,35,51,89,3.62,1.13
234,1,65,61,122,3.44,3.46
235,1,39,59,94,3.27,2.13
236,1,34,46,82,3.29,1.66
237,1,50,68,128,3.69,2.4
238,1,57,58,125,2.35,1.35
239,1,31,60,107,3.95,3.28
240,1,62,57,118,3.78,2.66
241,1,61,67,95,3.61,0.76
242,1,61,62,111,3.69,1.55
243,1,43,60,86,3.86,2.08
244,1,64,68,115,2.8,2.14
245,1,47,64,83,3.89,3.39
246,1,47,66,102,4.04,1.73
247,1,65,64,127,3.3,2.63
248,2,38,55,74,3.9,2.79
249,1,56,74,116,3.76,3.96
250,1,55,54,109,3.32,2.73
251,1,49,50,131,3.8,2.31
252,1,52,53,85,2.78,2.41
253,1,57,61,109,3.78,2.24
254,2,52,60,102,3.71,3.39
255,1,49,72,102,3.45,1.64
256,2,54,60,136,4.11,3.38
257,1,34,58,103,3.39,2.72
258,1,52,72,113,3.03,1.96
259,1,43,54,103,3.82,3.1
260,1,50,75,130,4.11,2.98
261,1,48,50,90,3.16,3.49
262,1,55,63,103,3.93,2.62
263,1,46,59,131,2.89,3.83
264,1,37,60,97,3.32,1.78
265,2,50,59,110,4.02,2.75
266,1,33,43,82,4.08,1.2
267,2,42,56,112,3.95,1.93
268,1,35,55,85,3.87,1.69
269,2,57,63,131,2.88,2.12
270,1,50,58,85,2.86,2.98
271,1,55,67,132,3.95,2.82
272,1,45,34,102,3.02,2.01
273,1,55,58,112,3.7,3.78
274,1,35,42,78,3.18,1.9
275,1,45,70,89,3.59,2.11
276,1,48,48,86,3.51,2.27
277,2,46,54,88,3.29,0.79
278,1,65,69,103,2.72,2.06
279,1,51,45,79,3.66,2.66
280,1,38,60,87,4.33,3.01
281,2,52,44,105,3.8,3.94
282,1,40,37,80,3.0,2.62
283,2,51,40,90,4.19,3.68
284,1,53,47,103,3.88,2.3
285,1,66,51,95,3.97,3.07
286,1,53,63,80,3.86,1.75
287,2,55,58,93,3.54,3.21
288,1,50,58,78,3.38,1.23
289,1,63,63,127,4.18,3.54
290,1,49,58,100,3.7,3.27
291,1,34,62,121,3.81,2.49
292,1,65,59,127,3.87,2.57
293,1,63,58,104,3.69,2.89
294,1,37,62,103,2.78,2.77
295,1,54,63,96,2.61,1.93
296,1,50,77,109,2.86,3.63
297,1,64,68,128,3.9,2.17
298,1,64,55,123,3.78,3.39
299,1,42,60,83,3.83,3.27
300,1,49,47,103,3.75,3.13
301,1,37,41,76,3.89,0.95
302,1,41,47,86,2.25,1.2
303,2,45,59,128,3.24,3.5
304,2,39,71,89,4.05,2.93
305,2,33,51,114,3.16,1.15
306,1,48,42,84,2.91,1.83
307,1,56,61,115,3.95,2.97
308,1,56,72,124,4.06,3.26
309,1,53,66,115,2.64,1.61
310,1,63,58,97,2.33,1.82
311,1,53,55,119,3.46,2.78
312,1,63,50,90,2.27,2.22
313,1,47,67,91,3.45,2.25
314,1,61,52,108,3.3,1.31
315,2,55,51,97,2.67,3.11
316,2,47,63,98,3.15,2.36
317,1,51,52,105,2.59,2.61
318,1,57,59,104,3.72,1.58
319,1,50,55,126,3.89,2.6
320,1,56,66,103,3.03,2.98
321,1,69,74,128,3.68,3.34
322,1,53,43,96,4.04,1.28
323,1,42,53,95,3.31,0.89
324,2,60,44,85,4.01,4.0
325,1,48,58,102,3.8,3.29
326,1,57,60,118,2.8,3.37
327,1,70,66,114,3.16,1.16
328,1,41,56,93,3.15,3.09
329,1,34,44,95,3.13,2.31
330,2,34,51,82,4.19,3.27
331,1,48,60,99,3.89,2.38
332,1,44,41,92,2.63,3.82
333,2,50,39,92,3.48,1.77
334,1,52,54,100,2.97,1.84
335,1,42,40,79,3.07,1.88
336,1,50,47,88,3.39,2.25
337,1,59,49,89,3.92,2.21
338,1,52,51,87,3.96,3.5
339,1,44,49,87,3.43,1.11
340,1,45,53,90,2.93,0.0
341,1,64,46,112,3.39,2.72
342,2,47,54,76,3.05,0.84
343,2,48,62,102,2.38,3.86
344,2,42,68,92,4.03,3.15
345,1,47,49,95,3.98,1.32
346,2,53,67,86,3.28,2.92
347,1,44,60,112,3.41,2.19
348,1,39,54,89,3.33,1.24
349,1,61,57,110,2.93,1.89
350,2,55,57,100,3.53,2.35
351,1,40,63,110,3.53,2.56
352,1,62,69,102,3.88,2.99
353,1,42,65,114,4.02,2.93
354,1,57,52,100,3.42,2.08
355,1,64,57,115,3.1,1.93
356,1,43,43,97,2.81,0.64
357,1,45,49,122,3.21,2.23
358,1,52,55,112,4.11,3.07
359,1,66,64,99,3.88,2.95
360,2,51,66,116,4.06,2.69
361,1,60,68,115,3.85,3.57
362,1,40,35,87,3.93,1.24
363,1,51,57,99,3.03,2.96
364,1,64,54,71,3.76,3.83
365,1,52,61,103,2.95,2.0
366,2,48,37,97,3.91,0.81
367,1,39,59,74,3.69,2.41
368,1,53,52,119,3.75,2.74
369,2,40,53,104,2.95,1.27
370,1,52,72,126,3.59,3.93
371,1,40,60,89,2.31,1.89
372,2,59,64,112,2.58,3.8
373,1,51,47,107,3.79,1.64
374,2,40,49,85,3.44,2.96
375,1,35,61,93,3.26,1.79
376,1,52,55,120,3.88,1.77
377,1,26,52,86,3.92,1.89
378,1,53,52,101,3.66,1.66
379,1,62,66,110,3.83,2.92
380,2,54,77,108,3.49,3.36
381,1,61,51,111,3.97,2.91
382,1,54,56,117,3.95,2.81
383,1,55,74,134,3.13,2.7
384,1,28,42,85,4.09,1.6
385,2,41,69,108,3.12,3.19
386,1,52,49,97,2.84,2.59
387,2,64,50,99,3.81,2.41
388,1,49,55,109,2.78,3.5
389,2,49,66,107,3.88,1.41
390,1,58,55,100,3.8,3.05
391,2,55,64,117,3.26,2.29
392,1,57,55,103,2.68,3.23
393,2,37,49,76,3.31,1.99
394,1,60,53,101,3.94,2.98
395,2,69,58,124,3.02,2.68
396,2,38,57,86,2.99,0.62
397,1,55,66,126,3.74,2.84
398,1,51,47,96,3.22,1.67
399,1,66,61,116,2.91,1.12
400,2,34,51,98,3.94,2.77
401,1,32,40,83,3.07,2.07
402,1,47,75,81,3.79,3.08
403,1,52,54,100,3.17,1.78
404,2,63,53,111,3.86,2.79
405,1,44,55,111,3.99,1.41
406,1,43,51,101,3.12,3.83
407,1,60,52,121,3.79,3.25
408,1,44,57,118,3.68,1.65
409,1,49,55,94,4.06,1.88
410,2,35,47,83,2.97,0.88
411,2,46,58,113,3.94,2.02
412,1,52,42,97,2.99,2.64
413,1,61,64,98,3.59,1.54
414,2,43,57,78,3.9,3.02
415,1,44,57,86,3.17,2.0
416,1,51,50,112,3.77,2.69
417,1,52,62,116,3.24,2.53
418,2,34,60,92,3.92,0.87
419,1,46,49,100,3.23,1.87
420,2,48,58,78,2.81,1.01
421,1,57,70,137,3.91,2.51
422,1,59,52,109,3.94,1.01
423,2,56,52,109,3.65,1.71
424,2,38,55,96,3.22,3.03
425,1,53,55,92,3.46,2.34
426,1,37,60,86,3.27,1.74
427,1,59,75,107,3.71,2.93
428,1,43,57,96,2.92,2.51
429,1,43,56,84,2.48,3.28
430,1,48,50,80,3.09,2.71
431,1,47,64,100,3.85,1.95
432,1,52,47,88,3.3,1.19
433,1,61,69,115,3.87,3.68
434,2,63,64,86,3.92,2.89
435,1,46,49,107,4.08,1.54
436,1,46,49,95,3.35,2.18
437,1,49,62,125,3.97,2.25
438,1,44,49,90,3.73,3.25
439,2,45,42,67,4.14,3.67
440,2,39,60,98,4.05,1.01
441,1,37,52,85,3.11,2.14
442,1,45,54,93,2.44,2.41
443,1,53,46,106,3.72,2.61
444,1,58,59,98,2.79,1.95
445,1,53,63,115,3.23,2.27
446,1,47,61,115,3.27,2.34
447,1,59,63,114,4.02,3.58
448,1,54,46,119,3.89,3.36
449,1,47,59,89,3.76,2.26
450,2,40,53,76,3.18,1.61
451,1,32,32,75,3.09,0.56
452,2,39,53,101,3.12,2.61
453,1,51,53,106,3.47,3.23
454,2,46,56,93,3.41,1.01
455,1,43,41,95,3.99,0.68
456,1,54,65,122,3.85,3.98
457,1,44,61,133,2.82,3.17
458,1,49,50,96,2.99,2.65
459,2,31,63,98,3.14,3.02
460,1,50,57,120,3.96,3.05
461,1,50,45,87,3.06,2.07
462,1,46,63,104,2.89,1.06
463,1,46,57,100,3.27,3.53
464,1,41,53,80,3.21,1.62
465,1,47,52,117,3.68,1.49
466,1,34,37,80,3.96,2.06
467,2,57,52,93,2.66,1.38
468,1,48,62,114,2.58,2.68
469,1,41,57,104,3.97,3.42
470,1,44,46,118,3.9,2.54
471,1,63,72,128,4.07,2.62
472,1,73,75,127,3.75,3.1
473,1,43,66,89,4.09,3.23
474,1,40,43,81,3.35,2.35
475,1,39,60,89,3.87,2.6
476,1,52,60,125,2.54,1.63
477,1,59,77,139,3.62,3.83
478,2,40,58,101,3.91,3.11
479,2,47,57,99,2.61,3.09
480,1,60,51,117,3.94,2.79
481,1,73,60,132,3.49,3.16
482,1,69,59,118,4.0,3.22
483,1,52,59,97,3.08,2.65
484,1,40,57,104,3.95,2.12
485,1,48,52,99,3.81,1.1
486,1,50,51,72,2.46,1.72
487,1,39,59,104,3.51,1.43
488,1,42,59,77,3.83,3.13
489,1,54,68,110,3.71,3.42
490,1,61,48,99,3.24,1.29
491,1,35,44,81,3.68,2.24
492,1,59,62,139,3.2,3.19
493,1,57,52,100,3.91,1.37
494,1,63,62,117,3.94,1.23
495,1,46,57,106,4.01,1.86
496,2,44,67,100,3.05,3.13
497,2,41,50,94,3.35,1.84
498,1,57,58,114,3.66,3.68
499,1,56,63,124,3.88,2.19
500,1,32,37,91,3.48,2.29
501,2,57,71,105,3.32,2.18
502,1,37,64,107,4.16,1.02
503,1,44,53,122,2.43,1.49
504,1,47,46,88,4.18,2.62
505,1,55,72,113,3.16,2.15
506,1,54,54,125,3.84,3.07
507,1,53,75,114,2.89,2.03
508,1,50,69,122,3.92,3.0
509,1,65,59,110,3.84,3.2
510,1,52,67,100,3.22,2.42
511,2,36,58,104,3.58,2.22
512,1,53,49,106,2.55,3.65
513,1,65,62,114,4.0,3.18
514,1,49,59,109,3.92,2.64
515,2,37,56,99,4.04,1.64
516,1,62,66,130,3.82,2.81
517,1,41,53,93,3.03,2.78
518,1,66,68,123,3.45,3.5
519,1,40,66,79,4.03,2.84
520,2,50,61,84,3.75,3.0
521,1,43,44,96,3.96,1.78
522,1,42,45,100,2.86,2.62
523,1,50,65,105,3.91,1.55
524,1,40,44,96,3.09,1.69
525,1,48,53,117,3.57,2.6
526,1,51,55,86,3.17,3.21
527,1,54,47,78,3.72,1.74
528,1,59,59,111,3.82,2.7
529,1,47,58,107,3.25,2.44
530,2,53,70,114,4.09,3.36
531,2,50,60,109,4.01,3.03
532,2,57,64,105,3.19,2.04
533,1,60,63,128,3.96,2.08
534,1,38,48,89,4.18,2.99
535,1,39,51,81,2.91,1.19
536,1,53,68,107,2.91,2.86
537,1,46,57,105,3.2,0.92
538,1,44,44,120,3.26,3.13
539,1,50,64,90,2.65,3.31
540,2,35,58,79,4.03,1.42
541,1,36,60,83,2.71,1.69
542,1,53,41,85,2.29,3.37
543,1,37,53,111,3.28,1.28
544,1,54,43,107,3.91,2.64
545,1,65,48,110,2.78,3.03
546,1,34,63,99,3.85,1.94
547,1,45,55,121,3.32,1.51
548,1,45,41,93,2.79,2.5
549,1,69,56,109,3.53,3.77
550,2,47,44,87,3.29,1.32
551,2,48,48,97,3.61,1.11
552,2,52,62,101,4.11,1.91
553,1,43,63,79,3.8,1.54
554,1,48,63,123,2.54,1.76
555,1,44,67,106,4.05,3.62
556,1,63,57,109,3.91,3.26
557,1,44,57,103,3.18,3.03
558,2,46,60,93,2.62,3.63
559,2,53,57,102,3.88,1.85
560,1,41,55,97,3.02,3.07
561,1,70,74,109,3.86,2.86
562,1,43,66,112,3.72,3.16
563,1,55,57,106,2.88,1.13
564,1,63,66,116,4.03,3.03
565,1,48,39,124,3.0,2.78
566,2,34,52,71,3.76,1.03
567,2,39,49,81,3.39,2.9
568,1,41,48,71,2.89,1.93
569,2,48,62,99,3.92,2.9
570,1,58,51,102,3.73,2.85
571,1,47,47,85,3.75,2.48
572,1,46,44,116,3.83,3.73
573,1,66,57,108,3.99,3.46
574,1,50,58,112,3.8,3.04
575,1,67,43,121,4.04,2.85
576,1,49,47,81,2.28,2.12
577,1,45,50,87,2.86,2.6
578,1,55,59,133,3.94,3.48
579,1,52,68,135,3.49,2.75
580,2,48,53,93,3.54,3.25
581,1,63,63,122,4.07,3.13
582,2,44,66,98,3.57,1.52
583,1,53,66,108,3.95,1.38
584,1,50,46,100,3.01,3.1
585,2,37,62,109,4.18,2.81
586,1,45,63,124,3.27,2.85
587,1,60,54,95,3.67,1.06
588,1,49,54,121,3.27,3.03
589,1,42,62,97,3.68,2.26
590,1,58,55,125,3.39,1.47
591,1,40,46,89,4.07,1.74
592,2,41,59,82,2.99,2.14
593,1,46,56,99,3.85,3.0
594,1,62,48,99,2.85,1.38
595,1,43,48,100,4.12,2.24
596,2,41,55,93,3.6,3.91
597,1,58,47,99,3.87,3.17
598,2,53,55,72,3.25,2.95
599,1,58,58,100,3.62,2.41
600,1,66,64,105,3.82,3.39
601,1,39,66,103,4.16,1.92
602,1,45,64,108,3.42,0.92
603,1,67,64,129,2.3,3.14
604,1,51,40,86,2.73,2.06
605,1,58,67,109,3.58,2.86
606,1,49,50,79,3.62,4.0
607,1,37,69,89,3.86,0.78
608,1,47,56,117,3.33,2.51
609,1,66,56,121,3.16,3.27
610,1,43,52,71,3.5,2.01
611,1,47,52,117,3.56,2.38
612,1,47,56,114,4.03,3.11
613,1,54,53,76,3.43,2.2
614,2,54,45,97,3.24,1.78
615,1,38,39,82,3.4,1.75
616,2,46,61,105,2.46,2.07
617,1,58,58,111,2.96,2.04
618,1,40,56,99,3.67,2.12
619,1,51,54,114,3.97,3.35
620,1,50,56,73,3.88,2.34
621,1,45,63,103,3.13,1.05
622,1,57,50,101,3.12,2.5
623,1,53,53,99,3.63,2.28
624,2,54,63,92,3.7,1.4
625,1,67,59,111,2.88,2.09
626,1,41,56,83,4.08,1.35
627,1,54,70,137,3.73,3.03
628,2,52,67,107,3.71,1.77
629,1,63,52,114,3.27,2.5
630,2,57,58,73,3.61,2.46
631,1,47,60,84,3.19,2.09
632,1,44,57,103,2.73,2.62
633,1,43,57,110,3.4,1.6
634,2,51,49,89,3.1,0.78
635,1,60,48,106,3.6,2.95
636,2,43,68,104,3.8,2.11
637,1,54,50,82,3.08,2.87
638,1,35,65,102,3.49,3.36
639,2,48,55,96,3.67,3.47
640,1,74,59,109,3.76,2.05
641,1,42,58,103,3.13,1.83
642,1,68,64,105,3.86,3.13
643,1,69,50,110,3.34,1.27
644,1,44,56,82,3.83,1.3
645,1,53,66,101,3.4,1.82
646,1,58,59,105,3.87,2.35
647,1,40,62,106,3.44,3.39
648,1,60,57,106,3.04,1.86
649,1,64,57,104,3.69,2.72
650,2,44,47,73,3.61,1.89
651,1,45,59,81,3.92,2.99
652,1,51,59,94,3.79,2.53
653,1,33,42,67,3.31,2.52
654,1,61,58,95,3.98,3.16
655,1,51,38,107,2.74,2.64
656,1,53,65,115,4.05,3.58
657,1,53,56,83,3.77,3.12
658,1,69,51,118,3.17,3.13
659,1,67,66,113,2.9,2.17
660,2,51,56,97,3.36,3.16
661,1,29,42,77,3.71,1.13
662,1,46,62,104,4.18,3.34
663,1,45,57,108,3.97,2.17
664,1,59,60,87,3.67,1.44
665,1,59,56,111,4.17,2.1
666,1,66,58,130,3.75,3.7
667,1,68,70,114,3.87,2.46
668,1,46,44,83,3.03,1.48
669,1,44,63,101,3.77,1.11
670,1,54,74,131,3.91,3.06
671,1,43,76,121,3.92,3.23
672,2,45,57,85,2.52,1.97
673,1,45,44,95,3.69,1.15
674,2,60,50,103,3.76,3.92
675,1,46,41,98,3.75,1.59
676,1,43,59,106,3.62,3.16
677,1,57,52,119,3.18,1.8
678,1,45,63,101,4.0,2.2
679,1,49,47,99,2.54,2.72
680,1,43,38,74,2.64,0.55
681,1,68,71,132,2.78,3.18
682,1,56,59,106,3.59,2.21
683,2,37,57,75,3.35,2.54
684,1,51,72,97,3.85,2.8
685,2,45,58,104,3.87,2.36
686,1,55,58,102,4.15,3.37
687,1,42,60,100,3.18,3.17
688,1,58,63,120,3.39,2.86
689,1,48,60,114,4.07,3.08
690,1,54,47,82,3.34,3.44
691,2,39,58,97,4.24,1.82
692,1,43,64,95,4.06,3.29
693,1,41,52,109,3.84,3.72
694,2,53,56,106,3.82,2.11
695,1,53,66,116,3.93,2.97
696,1,55,63,114,4.01,1.18
697,1,52,57,118,3.87,2.53
698,1,49,54,98,3.88,2.54
699,1,47,50,89,3.1,3.25
700,1,37,48,76,3.86,1.73
701,1,40,62,80,2.47,1.74
702,1,65,63,92,3.93,3.48
703,1,39,54,104,3.15,3.54
704,1,44,56,111,4.18,1.53
705,1,56,57,114,2.64,3.25
706,1,41,48,105,4.02,1.0
707,1,54,58,109,2.79,1.21
708,1,42,42,93,2.74,0.89
709,1,51,68,98,3.45,2.0
710,1,54,55,101,2.49,1.22
711,1,42,44,86,3.94,2.93
712,2,55,69,93,4.2,1.29
713,1,48,70,99,3.94,2.74
714,1,60,60,106,3.75,2.84
715,2,67,57,110,2.21,2.37
716,1,66,54,99,3.59,1.74
717,1,45,63,88,3.73,1.41
718,1,43,57,103,3.62,2.07
719,1,70,57,122,4.05,2.69
720,1,58,63,99,3.91,3.21
721,2,41,62,83,2.69,2.01
722,2,31,50,83,4.01,2.41
723,1,65,66,118,3.72,3.27
724,1,42,47,75,3.79,1.46
725,1,66,70,141,4.13,1.88
726,1,45,57,78,3.6,2.75
727,2,64,52,109,3.14,3.19
728,2,48,72,105,3.69,3.31
729,1,58,54,96,3.95,2.72
730,1,65,73,134,3.7,3.33
731,2,47,62,101,2.97,3.59
732,1,46,53,105,3.03,1.5
733,1,61,61,121,4.06,3.81
734,2,50,59,131,3.91,3.22
735,1,25,51,78,4.0,1.87
736,2,54,74,114,2.9,2.4
737,1,51,53,72,3.0,2.97
738,1,51,61,61,3.79,3.42
739,1,50,51,103,3.04,1.81
740,2,41,68,99,4.04,3.07
741,1,46,62,120,3.72,2.49
742,1,40,56,91,3.34,3.49
743,1,48,66,104,4.0,3.3
744,1,54,53,111,4.1,3.1
745,1,47,59,105,3.94,1.8
746,2,41,59,105,3.71,3.49
747,1,51,63,100,3.75,3.08
748,1,54,42,84,2.27,1.45
749,1,57,59,143,3.78,3.55
750,1,38,52,101,3.5,2.77
751,1,60,52,108,3.66,1.86
752,1,60,62,110,3.59,3.17
753,1,46,52,115,4.05,1.53
754,1,49,51,96,3.76,1.21
755,1,63,68,95,3.81,2.04
756,1,47,58,100,3.77,3.27
757,1,41,59,76,3.09,0.79
758,1,38,64,103,3.18,1.47
759,1,44,64,83,3.9,3.07
760,1,43,51,98,3.86,2.38
761,1,54,54,98,2.32,2.92
762,2,42,58,83,3.63,1.78
763,1,49,57,94,2.56,1.37
764,1,52,29,66,2.87,2.15
765,1,51,53,100,3.66,3.86
766,2,57,64,98,2.69,3.65
767,1,43,37,88,3.96,1.24
768,1,56,63,98,3.61,2.15
769,1,60,53,104,3.09,1.68
770,1,47,49,94,3.23,1.72
771,1,35,62,105,3.87,2.31
772,1,59,57,120,3.66,1.77
773,2,33,50,81,3.72,3.23
