	sex	sat_v	sat_m	sat_sum	hs_gpa	fy_gpa
202	2	47	53	81	3.65	2.8
203	1	58	50	120	3.41	2.58
204	1	35	45	87	3.17	2.3
205	2	48	45	78	2.54	1.82
206	1	64	72	137	3.72	3.57
207	1	60	67	141	3.42	3.15
208	2	40	45	99	3.1	3.03
209	2	56	52	123	2.83	2.14
210	1	47	54	131	2.6	0.79
211	2	47	61	101	3.75	3.55
212	1	58	60	122	4.11	3.43
213	1	64	61	128	3.63	3.29
214	1	63	39	121	3.79	3.57
215	1	41	64	108	3.83	1.77
216	2	51	67	111	3.18	1.8
217	1	61	77	141	4.07	4.0
218	2	49	56	116	3.34	2.08
219	2	73	48	117	3.62	2.51
220	1	63	57	104	3.78	2.35
221	1	53	58	122	3.83	1.64
222	2	44	69	120	3.78	2.09
223	1	45	46	96	3.36	1.69
224	1	57	48	102	3.32	2.45
225	2	32	55	96	3.38	1.55
226	1	53	48	93	3.1	1.07
227	2	39	42	97	2.29	1.37
228	1	57	53	97	3.14	1.36
229	1	52	56	122	2.87	1.67
230	1	59	66	131	3.72	3.48
231	2	66	57	143	3.76	2.15
232	2	61	53	116	2.6	1.97
233	1	55	60	125	4.14	2.26
234	1	46	49	110	2.39	3.12
235	1	42	40	72	2.64	0.96
236	1	42	53	89	3.74	1.86
237	1	49	51	87	3.31	3.2
238	2	49	54	138	3.66	4.0
239	2	45	66	125	4.1	3.53
240	2	53	46	130	3.65	2.81
241	1	54	33	102	2.71	2.0
242	1	49	60	115	2.25	3.52
243	2	47	56	119	2.9	2.21
244	1	46	71	122	3.47	3.08
245	2	63	45	118	3.88	2.91
246	1	50	61	91	2.39	2.26
247	2	63	67	141	3.23	3.35
248	2	46	64	106	3.4	3.16
249	1	53	42	121	3.73	2.42
250	1	66	66	122	4.16	3.79
251	1	43	45	107	3.64	2.31
252	2	41	35	82	3.61	2.46
253	1	65	55	114	3.79	2.76
254	1	66	48	121	3.51	2.76
255	1	41	43	92	2.92	2.4
256	2	71	68	140	3.9	4.0
257	1	43	57	116	3.17	2.94
258	1	76	60	138	4.2	2.0
259	1	44	50	104	2.29	1.14
260	1	48	42	96	3.48	2.05
261	1	57	56	101	3.26	2.16
262	2	49	49	101	2.58	0.49
263	1	67	43	134	3.28	1.98
264	2	44	53	110	3.67	2.7
265	2	54	68	112	3.66	3.74
266	2	62	40	81	3.18	1.52
267	1	48	48	91	2.69	2.56
268	1	34	54	113	2.89	1.15
269	1	47	52	105	3.68	1.55
270	2	53	49	123	3.45	3.64
271	2	47	48	71	3.64	0.79
272	2	69	77	144	3.93	3.83
273	1	57	61	139	3.09	2.3
274	2	45	48	87	2.65	1.77
275	2	50	48	82	2.34	2.29
276	2	64	59	131	3.68	2.53
277	1	49	56	103	3.09	2.29
278	2	32	38	105	3.7	2.08
279	1	54	49	90	3.11	2.99
280	1	52	56	115	2.67	1.0
281	2	55	54	124	3.11	2.31
282	2	56	62	134	3.15	3.14
283	2	46	44	92	3.28	0.88
284	1	58	56	110	3.47	2.41
285	2	56	61	108	3.71	1.18
286	1	48	41	103	3.27	0.95
287	1	47	52	119	3.14	2.69
288	1	61	29	77	3.36	2.17
289	2	46	45	87	3.27	0.47
290	1	50	56	126	2.79	3.35
291	1	58	45	79	3.53	0.78
292	2	58	63	123	3.14	3.36
293	1	70	53	122	3.71	2.59
294	2	45	50	107	3.16	2.49
295	2	41	53	67	3.58	2.16
296	1	51	53	105	2.71	0.73
297	1	39	48	97	3.92	1.64
298	1	59	72	144	3.95	4.0
299	1	49	56	110	3.4	2.1
300	1	55	44	98	3.31	1.71
301	1	49	42	130	3.25	3.22
302	1	56	51	96	2.87	1.55
303	1	60	61	112	3.9	3.05
304	1	46	51	97	2.39	0.54
305	1	54	63	82	3.38	3.73
306	2	61	51	102	3.93	1.68
307	1	38	42	112	3.58	1.72
308	1	57	62	131	3.23	3.57
309	1	38	50	106	3.65	3.48
310	1	50	57	114	2.81	1.96
311	1	44	67	132	3.71	3.82
312	1	64	71	140	4.01	3.89
313	2	47	55	93	2.52	1.02
314	2	51	51	93	2.46	2.06
315	2	44	58	120	3.24	2.75
316	1	53	51	113	3.82	1.58
317	2	48	51	88	2.61	2.53
318	2	56	49	86	2.2	1.96
319	1	64	51	119	3.5	2.15
320	1	50	69	123	3.03	2.23
321	1	40	56	139	3.44	2.78
322	1	49	41	104	3.8	2.58
323	2	57	53	93	3.73	2.08
324	1	59	67	128	3.69	2.77
325	2	41	57	117	2.7	2.47
326	1	43	45	87	3.03	2.47
327	1	52	56	115	3.69	3.0
328	1	45	61	89	3.14	1.17
329	2	43	56	78	2.86	0.98
330	2	62	67	125	3.96	3.59
331	2	45	64	123	3.21	1.33
332	2	60	32	98	3.42	2.73
333	2	48	48	114	3.14	2.2
334	2	45	37	67	2.61	0.68
335	1	43	49	79	1.94	0.93
336	1	62	59	135	3.56	2.73
337	1	50	64	88	2.5	2.4
338	1	64	67	142	4.07	3.81
339	2	53	43	98	3.44	2.07
340	2	63	72	127	3.71	3.51
341	1	57	59	142	3.94	3.83
342	2	49	47	87	2.69	1.84
343	1	54	57	130	3.65	2.49
344	1	67	63	144	4.21	4.0
345	2	50	55	123	3.5	3.67
346	1	57	50	121	2.59	1.93
347	1	54	45	106	2.54	0.82
348	2	47	50	94	3.01	1.71
349	1	55	62	129	2.77	2.56
350	1	61	52	120	4.08	3.31
351	2	28	46	65	3.56	1.05
352	1	59	44	102	3.51	2.47
353	1	61	71	144	3.69	3.71
354	1	48	64	132	4.06	3.47
355	2	45	47	102	3.53	3.08
356	1	34	40	80	3.03	1.03
357	2	60	55	106	4.06	3.83
358	1	48	51	96	2.88	1.9
359	1	54	53	130	3.94	3.09
360	2	61	59	132	3.65	3.34
361	2	54	38	101	3.63	2.39
362	1	52	46	119	3.86	3.55
363	1	47	47	85	3.03	3.01
364	1	50	52	126	2.69	3.07
365	2	54	53	120	2.74	3.14
366	1	53	40	100	3.98	2.3
367	1	53	61	136	3.48	3.21
368	2	51	54	118	3.4	1.94
369	2	53	55	118	3.46	3.1
370	2	51	64	116	3.74	2.52
371	1	37	55	131	3.58	2.13
372	2	65	70	141	3.81	2.44
373	2	46	54	128	3.16	2.9
374	1	59	58	119	3.61	3.36
375	2	38	46	97	3.81	1.83
376	2	53	62	125	2.84	2.14
377	1	34	52	98	2.29	1.61
378	2	43	42	75	3.45	1.43
379	1	48	46	86	3.39	1.3
380	2	39	51	106	3.91	2.7
381	1	49	56	98	3.03	2.15
382	2	64	62	123	4.04	3.59
383	1	50	63	111	3.96	3.83
384	1	41	42	96	2.66	0.59
385	2	65	53	108	2.85	2.11
386	2	49	56	101	3.43	2.66
387	1	58	46	93	2.47	3.74
388	1	43	58	110	2.42	2.11
389	2	35	36	78	2.87	1.11
390	2	59	57	134	3.69	3.14
391	1	41	76	106	2.9	2.24
392	1	54	69	119	3.92	3.3
393	1	61	33	93	2.85	1.05
394	1	43	60	102	3.92	2.12
395	2	39	56	84	2.93	2.58
396	1	74	56	141	4.13	2.56
397	2	40	57	111	3.08	2.28
398	1	37	64	101	3.69	1.72
399	2	35	46	70	2.68	1.68
400	1	39	50	76	2.54	0.98
401	2	44	49	94	3.6	2.74
402	2	68	67	135	3.63	2.59
403	1	64	61	129	2.52	3.7
404	2	55	55	111	3.24	1.75
405	2	39	50	93	3.51	3.14
406	2	54	49	85	2.98	2.15
407	2	57	59	89	3.31	2.28
408	1	34	44	67	3.44	1.42
409	1	48	51	86	2.87	1.26
410	2	52	42	69	3.66	3.04
411	2	52	55	130	3.16	2.65
412	2	42	55	108	3.24	2.07
413	1	59	67	129	4.1	2.24
414	1	61	53	115	3.91	3.37
415	1	54	66	125	3.72	3.33
416	1	44	48	106	2.38	1.64
417	1	52	38	109	3.17	2.53
418	1	48	48	124	2.35	2.56
419	1	63	51	131	3.4	1.93
420	1	59	47	100	3.65	3.03
421	1	65	62	131	3.9	2.33
422	1	47	46	109	3.96	1.66
423	2	49	55	108	2.96	2.18
424	1	69	53	137	3.9	4.0
425	2	58	45	109	3.23	3.7
426	1	39	56	96	2.76	2.02
427	2	48	55	88	3.25	1.9
428	2	42	40	61	3.31	1.14
429	2	57	52	78	2.32	2.92
430	1	42	41	98	3.78	1.1
431	1	45	55	113	2.79	1.77
432	2	56	66	112	4.09	3.66
433	1	49	40	94	3.65	2.13
434	2	52	59	144	3.67	2.37
435	2	50	69	134	3.87	3.43
436	1	44	50	91	3.16	3.7
437	1	56	48	93	3.46	2.62
438	2	51	56	109	3.29	3.29
439	1	56	54	134	3.83	2.39
440	1	66	56	120	4.11	3.33
441	1	60	59	130	3.32	3.78
442	2	42	43	96	3.45	1.09
443	2	61	34	103	2.23	2.59
444	1	58	67	136	2.52	2.37
445	1	61	58	141	3.2	3.02
446	1	51	55	106	2.79	1.87
447	2	45	54	91	3.8	1.5
448	1	55	56	99	2.34	1.71
449	1	49	42	84	2.51	2.05
450	1	59	64	141	4.0	2.11
451	1	49	46	109	2.46	2.09
452	1	43	46	100	2.95	1.48
453	1	58	51	113	3.38	2.45
454	1	45	48	102	2.46	1.12
455	1	51	65	144	3.95	3.66
456	2	38	33	95	3.58	0.84
457	1	43	63	129	2.7	3.46
458	1	47	39	106	2.3	0.78
459	1	50	64	108	3.31	2.3
460	1	39	42	92	2.62	0.95
461	1	50	66	144	3.82	3.6
462	1	47	60	111	2.54	2.71
463	2	41	47	66	2.83	2.56
464	2	53	64	136	3.94	2.8
465	1	49	65	116	2.78	1.2
466	2	45	74	131	3.99	2.69
467	1	42	46	116	2.76	0.6
468	1	54	49	103	3.06	2.19
469	2	46	39	100	3.08	2.02
470	1	64	62	134	3.35	4.0
471	1	49	51	102	2.96	2.52
472	1	42	56	120	3.34	3.72
473	1	40	44	111	2.71	2.41
474	1	59	52	142	3.92	3.06
475	1	59	56	116	3.06	2.75
476	2	59	61	102	3.76	2.5
477	2	40	43	81	2.76	2.6
478	1	50	63	114	4.1	3.28
479	1	50	56	101	4.06	4.0
480	2	37	31	106	3.88	1.88
481	2	49	40	121	3.81	1.92
482	1	53	63	113	2.68	2.6
483	1	47	41	107	2.64	1.91
484	1	48	48	103	3.72	3.94
485	1	63	42	119	2.98	3.13
486	2	51	59	113	3.23	2.78
487	2	37	48	88	3.51	2.11
488	1	47	44	87	2.93	1.76
489	1	50	46	113	2.13	1.68
490	1	48	51	109	2.04	0.09
491	1	60	61	118	3.59	3.29
492	1	57	49	112	3.54	2.99
493	1	53	50	108	3.9	1.16
494	1	57	58	97	3.16	3.4
495	2	51	42	95	2.7	1.39
496	1	60	55	94	3.67	1.66
497	1	55	48	86	2.82	1.54
498	2	56	56	122	3.54	3.1
499	2	59	69	110	3.04	3.5
500	1	50	50	89	3.44	2.72
501	2	40	53	105	3.71	2.85
502	1	51	57	131	4.06	1.88
503	1	32	67	111	3.89	2.59
504	1	50	62	133	4.12	2.39
505	1	32	37	76	2.11	1.08
506	1	70	59	124	3.81	3.07
507	1	50	58	108	3.28	1.25
508	2	40	52	110	3.24	4.0
509	1	47	50	98	3.0	2.67
510	2	67	61	127	3.14	2.46
511	1	67	47	110	3.16	2.4
512	1	56	50	117	2.67	3.14
513	2	53	58	95	3.95	3.24
514	1	55	62	127	3.93	3.51
515	2	47	47	97	3.05	2.13
516	2	40	56	105	3.04	2.02
517	2	56	51	123	3.25	1.66
518	2	56	57	128	3.65	2.39
519	2	44	64	115	3.83	2.4
520	2	38	69	141	3.71	2.85
521	1	49	52	126	3.09	3.41
522	1	40	67	84	3.7	3.85
523	1	55	67	86	2.81	1.92
524	2	47	47	78	3.68	1.46
525	2	43	50	107	2.61	2.7
526	2	50	44	105	3.61	3.46
527	2	49	51	112	2.48	2.78
528	1	44	60	131	4.04	2.24
529	2	58	50	119	3.49	2.55
530	1	52	54	128	3.73	3.11
531	1	61	35	103	3.49	2.94
532	1	42	54	88	2.97	0.25
533	2	58	41	114	3.63	2.77
534	1	54	52	103	3.65	2.94
535	2	47	40	115	4.02	3.61
536	1	47	51	92	3.38	1.4
537	1	50	54	99	2.73	3.33
538	2	63	57	131	3.25	2.73
539	1	44	53	109	3.26	2.3
540	1	50	51	103	2.65	3.45
541	2	43	44	98	3.81	2.33
542	1	50	59	94	3.42	2.44
543	2	46	57	98	3.41	1.48
544	2	54	61	102	3.48	2.84
545	2	48	36	98	3.05	2.69
546	2	50	55	141	3.85	1.9
547	2	63	70	135	4.1	3.67
548	1	51	59	117	3.23	3.75
549	2	67	71	135	3.82	2.41
550	1	60	60	139	2.92	3.64
551	1	50	39	91	2.73	1.38
552	1	57	68	133	4.05	3.13
553	1	50	73	118	4.08	3.07
554	1	48	41	117	3.74	3.24
555	2	48	53	126	2.45	2.57
556	2	63	54	130	3.34	3.54
557	1	49	29	67	3.45	1.47
558	1	45	61	117	3.28	0.64
559	1	49	64	105	3.89	3.98
560	2	46	33	74	2.89	0.64
561	1	45	51	91	2.84	2.02
562	1	57	52	137	3.53	2.07
563	2	51	50	114	3.49	2.67
564	1	37	57	106	3.09	1.48
565	2	50	35	71	3.5	2.42
566	1	73	60	144	3.24	3.13
567	1	60	44	95	4.19	3.68
568	1	46	47	103	2.17	1.86
569	2	47	47	93	3.13	1.35
570	1	56	49	119	4.05	2.54
571	1	44	59	120	2.67	2.54
572	2	50	61	107	3.16	1.7
573	1	46	42	69	2.57	1.2
574	1	63	54	90	3.93	2.0
575	2	49	51	110	3.26	1.76
576	2	52	48	99	3.62	2.66
577	2	42	44	81	2.5	0.3
578	2	65	40	95	3.04	1.3
579	1	43	56	112	3.4	1.93
580	1	46	53	97	3.97	3.67
581	2	44	64	119	3.25	3.1
582	1	55	56	125	3.39	3.46
583	2	63	53	125	3.98	1.91
584	1	55	74	136	4.1	2.68
585	1	48	52	94	2.37	2.08
586	2	55	45	114	2.58	1.9
587	1	55	30	106	3.42	2.38
588	1	67	64	122	3.32	3.35
589	2	53	56	105	3.0	1.82
590	1	51	34	109	3.83	0.91
591	1	49	55	113	4.02	3.51
592	1	59	43	108	2.98	2.38
593	1	51	47	106	3.66	1.96
594	1	40	53	115	3.86	2.2
595	1	49	54	106	3.85	1.62
596	2	73	65	130	3.96	1.88
597	1	59	72	128	3.8	1.72
598	1	43	63	138	4.22	3.62
599	1	47	55	93	2.76	1.25
600	1	51	65	111	3.59	2.28
601	2	38	33	96	3.16	3.71
602	2	41	58	91	3.04	1.07
603	1	43	56	124	3.97	1.87
604	1	72	75	144	3.17	1.97
605	2	47	56	88	3.43	2.41
606	1	52	60	126	4.05	2.03
607	2	43	49	100	3.26	0.87
608	2	48	42	87	2.86	2.39
609	1	51	52	121	3.99	1.52
610	1	43	68	119	3.68	2.97
611	1	43	49	100	2.71	1.31
612	1	52	63	104	3.66	2.67
613	2	38	40	104	3.08	3.3
614	1	50	65	135	4.15	1.96
615	1	59	56	119	2.73	2.23
616	1	49	53	117	3.06	1.82
617	1	42	55	88	2.89	2.14
618	2	33	56	99	3.66	1.51
619	2	45	57	103	3.23	2.48
620	2	65	39	105	2.96	1.32
621	1	53	57	110	3.52	2.6
622	2	44	50	94	3.34	2.13
623	1	47	60	120	3.78	3.44
624	1	51	51	112	3.73	3.46
625	1	47	39	87	2.7	0.24
626	2	41	53	94	4.02	2.25
627	2	57	41	109	3.56	2.49
628	2	62	51	102	3.28	2.17
629	2	42	62	109	3.65	1.88
630	1	43	59	128	2.5	1.85
631	1	63	62	143	3.84	2.46
632	1	56	59	124	3.35	2.26
633	2	49	53	91	3.09	1.24
634	1	49	42	105	3.62	2.2
635	1	40	52	102	2.01	0.6
636	1	49	57	112	2.68	2.38
637	1	57	52	118	3.35	3.54
638	1	53	65	124	3.81	2.57
639	1	45	64	106	3.97	3.12
640	1	58	46	135	3.44	3.5
641	1	50	52	132	3.58	0.9
642	2	58	61	135	3.89	3.63
643	1	49	48	84	3.38	2.48
644	1	46	54	119	2.75	1.75
645	2	48	56	115	4.26	3.07
646	2	51	46	127	3.77	3.28
647	1	45	44	58	2.68	0.0
648	1	48	53	104	3.2	1.13
649	1	52	56	112	3.93	3.08
650	1	48	56	142	3.63	2.84
651	2	43	46	94	2.45	1.01
652	2	37	47	75	2.98	2.64
653	2	39	46	113	2.99	1.69
654	2	40	33	76	3.43	1.36
655	2	63	64	111	3.76	2.67
656	1	63	55	127	3.08	2.01
657	1	61	58	116	3.21	2.41
658	2	47	52	85	3.56	1.54
659	2	50	58	113	3.76	3.65
660	2	47	41	83	3.48	2.03
661	1	46	51	87	4.04	2.07
662	2	47	37	97	3.21	1.27
663	1	57	57	130	3.59	2.74
664	2	41	52	67	3.36	1.42
665	1	55	59	134	4.13	3.4
666	1	45	47	111	2.92	0.85
667	1	54	53	97	3.47	2.24
668	2	50	38	115	3.49	3.26
669	2	65	44	112	3.92	3.27
670	1	42	76	134	4.02	2.87
671	2	46	53	136	2.89	2.69
672	1	55	55	100	2.93	1.48
673	2	45	61	136	3.83	2.3
674	1	60	54	105	3.7	2.19
675	1	46	65	127	3.97	1.75
676	1	62	45	118	3.63	3.0
677	1	48	57	105	2.85	2.45
678	1	52	54	111	4.18	3.79
679	1	55	52	99	3.88	0.79
680	2	56	59	113	3.32	2.89
681	2	41	46	91	2.99	2.67
682	2	53	54	127	3.2	3.51
683	2	39	48	97	3.33	2.49
684	1	56	54	141	3.82	2.85
685	2	44	55	131	3.86	2.68
686	1	52	73	137	3.8	3.69
687	2	52	56	119	3.66	3.76
688	1	43	56	104	3.9	1.87
689	2	47	60	109	2.56	1.4
690	2	51	52	123	3.45	3.83
691	1	46	73	127	2.9	3.29
692	1	57	40	98	3.23	1.72
693	1	60	49	117	3.96	3.53
694	2	71	75	142	2.68	2.65
695	1	44	54	80	1.89	1.91
696	1	69	46	114	3.52	2.74
697	1	64	58	140	3.79	1.72
698	2	54	62	117	2.66	1.19
699	2	45	50	74	1.8	2.28
700	1	57	59	107	3.57	2.05
701	1	48	72	141	4.08	2.46
702	1	65	55	136	3.16	2.9
703	2	54	52	123	3.38	2.45
704	1	44	56	101	4.05	2.19
705	1	38	50	72	2.7	0.3
706	1	54	48	101	2.81	2.01
707	1	56	50	132	2.92	2.7
708	1	44	58	110	3.54	2.24
709	2	46	47	108	2.82	2.01
710	2	44	45	112	3.16	2.75
711	2	60	59	127	3.14	2.55
712	1	60	39	106	3.03	2.5
713	1	42	47	69	3.24	1.68
714	1	41	50	105	2.54	3.46
715	1	53	58	118	3.85	2.26
716	2	45	50	94	3.41	3.66
717	1	51	59	116	3.09	2.83
718	1	60	67	124	3.88	3.84
719	1	61	69	134	3.76	2.18
720	2	56	73	131	3.96	4.0
721	2	60	53	95	3.07	3.08
722	2	39	43	80	3.16	1.38
723	2	50	45	104	3.6	3.51
724	2	47	55	89	3.53	2.59
725	2	54	49	99	3.34	2.31
726	2	59	50	109	3.71	2.87
727	1	49	60	110	2.86	1.89
728	1	41	49	97	3.03	2.04
729	2	57	60	117	3.04	2.59
730	2	42	47	84	2.94	0.62
731	2	58	49	104	2.77	0.88
732	2	63	54	109	3.89	2.3
733	2	50	50	99	3.95	2.41
734	1	41	57	112	2.94	1.7
735	2	48	74	101	3.85	1.94
736	1	41	43	69	2.76	0.0
737	2	48	54	120	3.12	3.29
738	1	58	57	115	3.52	1.07
739	2	50	50	119	3.79	3.85
740	2	46	53	119	3.67	3.36
741	1	50	49	97	3.19	2.46
742	1	56	72	143	3.89	3.5
743	1	46	62	135	2.77	2.59
744	2	49	56	108	2.84	1.22
745	2	56	58	91	4.09	2.27
746	2	57	68	132	3.78	2.18
747	1	41	52	102	3.11	1.42
748	2	56	51	102	3.4	1.7
749	1	46	63	136	3.9	3.31
750	1	39	44	104	3.59	1.71
751	1	50	45	89	2.65	2.57
752	1	68	64	112	2.4	2.72
753	1	69	59	144	2.91	3.75
754	1	61	59	110	3.92	3.53
755	1	38	43	134	4.09	1.55
756	1	56	63	130	4.05	3.0
757	1	67	58	114	3.49	3.43
758	1	48	41	100	3.67	3.77
759	1	52	55	137	3.65	3.89
760	1	60	73	140	3.85	3.53
761	1	35	58	121	2.41	3.34
762	2	53	63	134	4.13	2.67
763	2	40	40	113	2.67	3.14
764	1	48	54	108	3.23	2.19
765	2	50	48	84	3.6	2.3
766	1	46	52	121	3.61	3.73
767	2	45	39	117	3.53	1.37
768	2	48	58	123	3.56	1.24
769	1	37	62	86	3.22	2.48
770	1	64	59	119	3.69	2.33
771	1	60	64	106	3.99	1.41
772	1	57	56	123	3.49	1.66
773	2	39	30	73	3.65	1.67
