,PUMA,YEAR,HHWT,GQ,PERWT,SEX,AGE,MARST,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,HCOVPRIV,HINSEMP,HINSCAID,HINSCARE,EDUC,EMPSTAT,EMPSTATD,LABFORCE,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WRKRECAL,WORKEDYR,INCTOT,INCWAGE,INCWELFR,INCINVST,INCEARN,POVERTY,DEPARTS,ARRIVES,sim_individual_id
24,17-1104,2012,17.0,4,17.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,18000,18000,0,0,18000,0,0,0,33838
25,17-1104,2012,126.0,1,138.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,18000,18000,0,0,18000,501,717,734,34389
26,17-1204,2012,89.0,4,89.0,1,21,6,1,0,0,3,2,2,2,1,1,6,3,30,1,1,1,1,5,3,3,7000,7000,0,0,7000,0,0,0,44783
27,17-1204,2012,104.0,1,133.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,7700,7700,0,0,7700,290,1505,1509,45110
28,17-1204,2012,23.0,1,23.0,1,21,1,1,0,0,3,2,1,1,2,1,6,1,10,2,2,4,3,5,3,3,20000,20000,0,0,20000,137,1635,1714,45125
29,17-1204,2012,102.0,4,102.0,1,21,6,1,0,0,3,2,2,2,1,1,6,3,30,1,1,1,1,5,3,3,7000,7000,0,0,7000,0,0,0,45295
30,17-1205,2012,72.0,1,80.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,5000,5000,0,0,5000,501,702,714,50681
31,17-1205,2012,46.0,1,50.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,9000,9000,0,0,9000,75,632,649,50773
32,17-1205,2012,78.0,1,77.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,34300,34300,0,0,34300,219,435,454,50839
33,17-1205,2012,90.0,1,91.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,16000,16000,0,0,16000,337,802,824,51001
34,17-1205,2012,90.0,1,89.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,1,1,5,3,3,60000,60000,0,0,60000,501,1515,1524,51114
35,17-1205,2012,118.0,1,116.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,13500,13500,0,0,13500,437,852,859,51136
36,17-1205,2012,143.0,1,158.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,10000,10000,0,0,10000,501,632,644,51181
37,17-1205,2012,70.0,1,71.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,10000,10000,0,0,10000,85,732,754,51261
38,17-1300,2012,59.0,1,110.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,12000,12000,0,0,12000,101,602,614,58324
39,17-1300,2012,334.0,1,467.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,1,0,0,0,0,0,501,0,0,58844
40,17-1500,2012,292.0,1,293.0,1,21,6,1,0,0,3,2,2,1,1,1,7,3,30,1,1,1,1,5,3,1,0,0,0,0,0,1,0,0,69336
41,17-1500,2012,206.0,1,255.0,1,21,6,1,0,0,3,2,2,2,1,1,6,3,30,1,1,1,1,5,3,3,2400,0,0,0,2400,311,0,0,69415
42,17-1500,2012,27.0,1,32.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,12,2,1,3,3,5,3,3,13900,13900,0,0,13900,501,0,0,69425
43,17-1500,2012,26.0,1,23.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,270,240,0,30,240,501,902,929,69435
44,17-1500,2012,33.0,1,34.0,1,21,6,1,0,0,3,2,2,2,1,1,8,1,10,2,2,4,3,5,3,3,11000,11000,0,0,11000,275,532,554,69583
45,17-1500,2012,46.0,1,51.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,20000,20000,0,0,20000,391,1605,1629,69763
46,17-1602,2012,188.0,1,249.0,1,21,6,1,0,0,3,1,1,1,1,1,6,2,20,2,1,4,2,4,1,3,1300,1300,0,0,1300,11,0,0,75773
47,17-1602,2012,194.0,1,132.0,1,21,6,1,0,0,3,2,2,2,1,1,6,2,20,2,1,4,2,4,1,3,11610,11500,0,0,11500,97,0,0,76049
48,17-1602,2012,60.0,3,60.0,1,21,6,1,0,0,3,1,1,1,1,1,5,3,30,1,3,4,3,5,3,2,0,0,0,0,0,0,0,0,76137
49,17-1602,2012,29.0,1,32.0,1,21,6,1,0,0,3,2,2,1,1,1,6,3,30,1,3,4,3,5,3,3,300,300,0,0,300,350,0,0,76621
50,17-1602,2012,65.0,1,64.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,25900,25900,0,0,25900,140,1405,1414,76664
51,17-1602,2012,22.0,1,22.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,17500,17500,0,0,17500,207,702,749,77001
52,17-1602,2012,45.0,1,86.0,1,21,6,1,0,0,3,2,1,1,2,1,6,3,30,1,1,1,1,5,3,1,5600,0,0,0,0,446,0,0,77301
53,17-1602,2012,29.0,3,29.0,1,21,6,1,0,0,3,1,1,1,1,1,5,3,30,1,3,4,3,5,3,2,0,0,0,0,0,0,0,0,77350
54,17-1602,2012,24.0,1,31.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,3,1,2,0,0,0,0,0,143,0,0,77576
55,17-1701,2012,30.0,1,48.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,9500,9500,0,0,9500,501,1005,1019,89499
56,17-1701,2012,25.0,1,37.0,1,21,6,1,0,0,3,2,2,2,1,1,8,2,20,2,1,1,2,4,3,3,1300,1300,0,0,1300,501,0,0,89579
57,17-1701,2012,39.0,2,48.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,4000,4000,0,0,4000,34,802,809,89701
58,17-1701,2012,10.0,1,17.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,5000,5000,0,0,5000,368,1135,1204,89715
59,17-1701,2012,425.0,1,425.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,38000,38000,0,0,38000,320,2235,2254,89945
60,17-1701,2012,27.0,1,42.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,6500,6500,0,0,6500,501,1615,1649,90302
61,17-1701,2012,86.0,2,94.0,1,21,6,1,0,0,3,2,2,1,1,1,7,1,10,2,2,4,3,5,3,3,10000,10000,0,0,10000,85,1805,1809,90426
62,17-1701,2012,86.0,2,92.0,1,21,6,1,0,0,3,1,1,1,1,1,7,1,10,2,3,4,3,5,3,3,10000,10000,0,0,10000,85,602,624,90427
63,17-1701,2012,40.0,1,61.0,1,21,6,1,0,0,3,1,1,1,1,1,6,2,20,2,1,1,2,4,3,1,0,0,0,0,0,501,0,0,90669
64,17-1900,2012,322.0,1,300.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,13500,13500,0,0,13500,290,632,649,99533
65,17-1900,2012,21.0,4,21.0,1,21,6,1,0,0,3,2,2,1,1,1,6,1,14,2,2,1,1,3,1,3,24000,24000,0,0,24000,0,602,619,99588
66,17-1900,2012,27.0,1,25.0,1,21,6,1,0,0,3,2,2,2,2,1,6,1,10,2,2,1,1,5,3,3,23000,23000,0,0,23000,483,647,709,99653
67,17-1900,2012,112.0,1,133.0,1,21,6,1,0,0,3,1,1,1,1,1,6,3,30,1,1,1,1,5,3,2,0,0,0,0,0,454,0,0,99699
68,17-1900,2012,43.0,1,34.0,1,21,1,1,0,0,3,2,1,1,2,1,4,2,20,2,1,4,3,4,2,3,16600,15000,0,0,15000,69,0,0,99963
69,17-1900,2012,22.0,1,22.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,27000,27000,0,0,27000,228,435,604,99971
70,17-1900,2012,155.0,1,123.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,5600,5600,0,0,5600,501,902,909,100012
71,17-1900,2012,97.0,1,69.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,6000,6000,0,0,6000,235,1535,1549,100129
72,17-1900,2012,59.0,1,73.0,1,21,3,1,0,0,3,1,1,1,1,1,5,1,10,2,2,4,3,5,3,3,18200,18200,0,0,18200,371,717,729,100253
73,17-1900,2012,40.0,1,40.0,1,21,6,1,0,0,3,2,1,1,2,1,7,1,10,2,2,4,3,5,3,3,20000,20000,0,0,20000,127,732,744,100256
74,17-1900,2012,93.0,1,93.0,1,21,6,1,0,0,3,2,2,2,1,1,8,1,10,2,2,4,3,5,3,3,36400,36400,0,0,36400,307,702,734,100401
75,17-1900,2012,102.0,1,101.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,9000,9000,0,0,9000,75,1405,1434,100512
76,17-1900,2012,185.0,1,207.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,12000,12000,0,0,12000,192,1435,1444,100529
77,17-2000,2012,109.0,4,109.0,1,21,6,1,0,0,3,1,1,1,1,1,8,3,30,1,1,1,1,5,3,1,0,0,0,0,0,0,0,0,107713
78,17-2000,2012,195.0,1,182.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,20000,20000,0,0,20000,170,852,904,107866
79,17-2000,2012,94.0,1,94.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,3400,3400,0,0,3400,29,802,809,107917
80,17-2000,2012,64.0,1,64.0,1,21,6,1,0,0,4,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,20900,20900,0,0,20900,177,0,0,107988
81,17-2000,2012,53.0,1,74.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,4,1,3,1000,1000,0,0,1000,8,0,0,107996
82,17-2000,2012,118.0,1,108.0,1,21,1,1,0,0,3,2,2,1,1,1,7,1,10,2,2,4,3,5,3,3,6000,6000,0,0,6000,79,1405,1414,108122
83,17-2000,2012,87.0,4,87.0,1,21,6,1,0,0,3,1,1,1,1,1,8,3,30,1,1,1,1,5,3,1,0,0,0,0,0,0,0,0,108227
84,17-2000,2012,17.0,1,26.0,1,21,6,1,0,0,4,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,27504,27500,0,4,27500,501,445,454,108309
85,17-2000,2012,297.0,1,296.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,1,2,4,3,3,5000,5000,0,0,5000,42,702,709,108348
86,17-2000,2012,10.0,1,16.0,1,21,6,1,0,0,3,2,2,2,1,1,8,1,10,2,2,4,3,5,3,3,12400,12400,0,0,12400,501,602,629,108358
87,17-2000,2012,71.0,1,69.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,10000,10000,0,0,10000,85,832,844,108403
88,17-2000,2012,71.0,1,71.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,4000,4000,0,0,4000,34,0,0,108404
89,17-2000,2012,100.0,4,100.0,1,21,6,1,0,0,3,2,2,1,1,1,6,3,30,1,1,1,1,3,3,2,0,0,0,0,0,0,0,0,108421
90,17-2000,2012,6.0,4,6.0,1,21,6,1,0,0,3,2,2,1,1,1,6,3,30,1,1,1,1,3,3,2,0,0,0,0,0,0,0,0,108603
91,17-2000,2012,91.0,1,114.0,1,21,6,1,0,0,3,2,2,2,1,1,6,2,20,2,1,1,2,2,1,3,5000,5000,0,0,5000,390,0,0,108612
92,17-2000,2012,34.0,1,53.0,1,21,6,1,0,0,3,2,2,2,1,1,6,2,20,2,1,1,2,4,3,1,0,0,0,0,0,134,0,0,108696
93,17-2000,2012,76.0,4,76.0,1,21,6,1,0,0,3,2,2,1,1,1,6,3,30,1,1,1,1,3,3,2,0,0,0,0,0,0,0,0,108722
94,17-2000,2012,60.0,4,60.0,1,21,6,1,0,0,3,1,1,1,1,1,8,3,30,1,1,1,1,5,3,1,0,0,0,0,0,0,0,0,108755
95,17-2000,2012,619.0,1,620.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,11000,11000,0,0,11000,93,802,814,108807
96,17-2000,2012,6.0,4,6.0,1,21,6,1,0,0,3,2,2,1,1,1,7,3,30,1,1,1,1,4,1,3,300,300,0,0,300,0,0,0,108885
97,17-2000,2012,84.0,4,84.0,1,21,6,1,0,0,3,2,2,1,1,1,6,3,30,1,1,1,1,3,3,2,0,0,0,0,0,0,0,0,108926
98,17-202,2012,13.0,1,12.0,1,21,6,1,0,0,3,2,2,2,2,1,6,3,30,1,1,1,1,3,1,2,14200,0,0,0,0,501,0,0,117454
99,17-202,2012,3.0,4,3.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,12000,3000,0,0,12000,0,0,0,117509
100,17-202,2012,2.0,4,2.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,3500,3500,0,0,3500,0,0,0,117722
101,17-202,2012,26.0,1,17.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,2,3,3,3,3400,3400,0,0,3400,501,0,0,117749
102,17-202,2012,3.0,4,3.0,1,21,6,1,0,0,3,2,2,1,1,1,7,1,10,2,2,3,3,5,3,3,4200,4200,0,0,4200,0,817,834,117905
103,17-202,2012,87.0,4,87.0,1,21,6,1,0,0,3,2,2,1,1,1,7,3,30,1,1,1,1,5,3,3,2500,2500,0,0,2500,0,0,0,117962
104,17-202,2012,35.0,4,35.0,1,21,6,1,0,0,3,2,2,1,1,1,6,3,30,1,1,1,1,5,3,2,0,0,0,0,0,0,0,0,117987
105,17-202,2012,47.0,1,55.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,34500,34500,0,0,34500,294,632,659,118133
106,17-202,2012,14.0,4,14.0,1,21,6,1,0,0,3,2,2,1,1,1,7,1,10,2,2,4,3,5,3,3,4500,4500,0,0,4500,0,932,939,118262
107,17-202,2012,50.0,1,93.0,1,21,6,1,0,0,3,1,1,1,1,1,7,1,10,2,2,4,3,5,3,3,15800,15800,0,0,15800,257,405,434,118629
108,17-202,2012,41.0,1,45.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,3,3,3,6000,6000,0,0,6000,364,0,0,118703
109,17-202,2012,135.0,1,135.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,15000,15000,0,0,15000,126,0,0,118745
110,17-202,2012,98.0,4,98.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,12000,3000,0,0,12000,0,0,0,118819
111,17-202,2012,283.0,1,284.0,1,21,6,1,0,0,3,2,2,2,1,1,8,2,20,2,1,1,2,4,3,3,25000,25000,0,0,25000,212,0,0,118933
112,17-202,2012,63.0,1,83.0,1,21,6,1,0,0,3,2,1,1,2,1,6,1,10,2,2,4,3,5,3,3,8540,240,0,0,240,119,602,604,119129
113,17-202,2012,72.0,1,69.0,1,21,6,1,0,0,3,2,2,2,1,1,6,3,30,1,1,1,1,5,1,2,0,0,0,0,0,449,0,0,119186
114,17-202,2012,36.0,1,49.0,1,21,6,1,0,0,3,1,1,1,1,1,6,3,30,1,3,4,3,5,3,1,0,0,0,0,0,146,0,0,119343
115,17-202,2012,101.0,1,100.0,1,21,1,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,76000,75000,0,1000,75000,501,752,824,119510
116,17-2100,2012,36.0,4,36.0,1,21,6,1,0,0,3,2,2,2,1,1,10,1,10,2,2,4,3,5,3,3,6000,6000,0,0,6000,0,0,0,132683
117,17-2100,2012,110.0,1,110.0,1,21,6,1,0,0,3,2,2,1,1,1,7,1,10,2,2,4,3,5,3,3,4000,4000,0,0,4000,33,0,0,132724
118,17-2100,2012,110.0,1,118.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,12,2,1,3,1,5,1,3,4000,4000,0,0,4000,34,0,0,132725
119,17-2100,2012,110.0,1,120.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,2,3,3,3,150,150,0,0,150,1,0,0,132726
120,17-2100,2012,115.0,1,114.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,4000,4000,0,0,4000,33,612,644,132735
121,17-2100,2012,74.0,1,115.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,3200,3000,0,0,3000,27,0,0,132737
122,17-2100,2012,8.0,4,8.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,2,3,3,3,11500,4500,0,0,11500,0,0,0,133019
123,17-2100,2012,92.0,1,92.0,1,21,6,1,0,0,3,2,2,2,1,1,10,1,10,2,2,4,3,5,3,3,6601,6600,0,1,6600,55,752,759,133064
124,17-2100,2012,123.0,1,133.0,1,21,6,1,0,0,3,2,2,2,1,1,8,1,10,2,2,4,3,5,3,3,26000,26000,0,0,26000,220,1815,1829,133081
125,17-2100,2012,211.0,1,211.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,40000,40000,0,0,40000,335,1335,1344,133202
126,17-2100,2012,256.0,1,255.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,4000,4000,0,0,4000,34,0,0,133214
127,17-2100,2012,256.0,1,284.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,4700,4700,0,0,4700,40,0,0,133215
128,17-2100,2012,12.0,1,20.0,1,21,6,1,0,0,3,2,2,2,1,1,10,1,10,2,2,1,1,5,3,3,51000,51000,0,0,51000,431,702,749,133281
129,17-2100,2012,98.0,1,98.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,6500,6500,0,0,6500,54,1535,1544,133384
130,17-2100,2012,135.0,1,135.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,1200,1200,0,0,1200,10,0,0,133423
131,17-2100,2012,6.0,4,6.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,3500,0,0,0,3500,0,802,904,133602
132,17-2100,2012,253.0,1,253.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,9000,9000,0,0,9000,76,2115,2149,133683
133,17-2100,2012,109.0,1,109.0,1,21,6,1,0,0,3,2,2,2,1,1,7,3,30,1,1,1,1,5,3,3,12000,12000,0,0,12000,100,0,0,133689
134,17-2100,2012,441.0,1,621.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,17000,17000,0,0,17000,501,1335,1344,133756
135,17-2100,2012,247.0,1,247.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,5000,5000,0,0,5000,42,702,724,133763
136,17-2100,2012,137.0,1,238.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,13300,13300,0,0,13300,112,802,809,133883
137,17-2100,2012,137.0,1,239.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,1400,1400,0,0,1400,12,2135,2144,133884
138,17-2200,2012,13.0,1,15.0,1,21,6,1,0,0,3,2,2,2,1,1,8,1,10,2,2,4,3,5,3,3,2900,2900,0,0,2900,501,632,649,142469
139,17-2200,2012,155.0,1,119.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,3,4,3,5,3,3,4000,4000,0,0,4000,360,602,604,142504
140,17-2200,2012,7.0,3,7.0,1,21,6,1,0,0,3,1,1,1,1,1,6,3,30,1,3,4,3,5,3,1,0,0,0,0,0,0,0,0,142929
141,17-2200,2012,14.0,1,21.0,1,21,6,1,0,0,3,1,1,1,1,1,6,2,20,2,1,4,3,5,3,2,0,0,0,0,0,58,0,0,142974
142,17-2200,2012,95.0,1,91.0,1,21,6,1,0,0,3,1,1,1,1,1,7,2,20,2,1,1,2,4,1,3,6000,6000,0,0,6000,184,0,0,143378
143,17-2200,2012,53.0,1,53.0,1,21,1,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,52000,52000,0,0,52000,501,732,734,143459
144,17-2200,2012,11.0,1,21.0,1,21,4,1,0,0,3,1,1,1,1,1,8,2,20,2,1,1,2,4,3,3,7000,7000,0,0,7000,307,0,0,143627
145,17-2200,2012,154.0,1,81.0,1,21,6,1,0,0,3,2,2,1,1,1,6,2,20,2,1,1,2,4,1,3,25000,25000,0,0,25000,394,0,0,143820
146,17-2200,2012,173.0,1,316.0,1,21,1,1,0,0,3,1,1,1,1,1,7,1,10,2,2,4,3,5,3,3,30000,30000,0,0,30000,452,802,809,143921
147,17-2200,2012,83.0,1,158.0,1,21,6,1,0,0,3,2,2,1,1,1,7,2,20,2,1,4,2,4,2,3,21710,21000,0,60,21000,303,0,0,144020
148,17-2200,2012,49.0,1,65.0,1,21,6,1,0,0,3,2,1,1,1,2,5,3,30,1,1,4,1,5,3,1,6900,0,0,0,0,153,0,0,144125
149,17-2200,2012,110.0,1,107.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,1,2,4,3,3,3000,3000,0,0,3000,312,632,644,144361
150,17-2200,2012,39.0,1,44.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,15000,15000,0,0,15000,297,632,654,144447
151,17-2200,2012,11.0,1,12.0,1,21,6,1,0,0,3,1,1,1,1,1,4,2,20,2,1,1,2,4,3,3,12000,12000,0,0,12000,472,0,0,144490
152,17-2300,2012,93.0,1,134.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,12000,12000,0,0,12000,280,502,529,156661
153,17-2300,2012,59.0,1,85.0,1,21,6,1,0,0,3,2,2,2,1,1,6,1,10,2,2,4,3,5,3,3,26200,26200,0,0,26200,501,717,749,156751
154,17-2300,2012,59.0,1,85.0,1,21,6,1,0,0,3,2,2,2,1,1,7,1,10,2,2,4,3,5,3,3,21200,21200,0,0,21200,501,732,754,156752
155,17-2300,2012,49.0,1,76.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,1,1,5,3,3,5600,5600,0,0,5600,299,747,754,156915
156,17-2300,2012,81.0,4,81.0,1,21,6,1,0,0,3,2,2,2,1,1,8,3,30,1,3,4,3,5,3,1,0,0,0,0,0,0,0,0,156923
157,17-2300,2012,21.0,4,21.0,1,21,6,1,0,0,3,1,1,1,1,1,6,1,10,2,2,4,3,5,3,3,16700,16700,0,0,16700,0,0,0,156939
